GR_F,NPHIC,RHOBC,DTC,VCL_FINAL,PHIE_FINAL,TypeRock
18.3058,0.0609,2.5919,65.9078,0.0255,0.052,4
18.8685,0.0613,2.6049,65.9152,0.04,0.0453,4
17.3195,0.0576,2.6176,65.4068,0.0442,0.0394,4
20.2387,0.0517,2.6329,63.533,0.0555,0.0283,4
19.9168,0.0429,2.6423,62.2407,0.0507,0.0218,4
18.4427,0.0369,2.6493,61.2261,0.046,0.0181,4
19.1813,0.0363,2.6632,60.5079,0.06,0.0106,4
18.1963,0.0384,2.6719,61.1431,0.07,0.0075,4
26.5836,0.0764,2.6405,63.4999,0.1122,0.0257,4
42.0844,0.1315,2.6057,94.9288,0.1947,0.0425,4
60.4393,0.192,2.5466,94.1738,0.2762,0.0662,4
76.7792,0.2494,2.4454,100.3551,0.3157,0.1079,3
86.9983,0.281,2.412,100.3667,0.3689,0.1161,3
93.1863,0.2917,2.3942,103.0883,0.3932,0.1169,3
96.91,0.3095,2.3804,104.0494,0.423,0.1211,3
101.6714,0.3367,2.4184,103.4109,0.5238,0.1002,3
102.7466,0.3504,2.4322,103.303,0.4119,0.1583,3
106.0456,0.3518,2.43,102.1885,0.4336,0.1505,3
109.3472,0.3437,2.4238,103.8323,0.439,0.1414,3
112.0885,0.337,2.4213,105.5714,0.4477,0.1319,3
115.7058,0.3437,2.4186,106.0238,0.4856,0.1222,3
117.4238,0.3571,2.4154,106.413,0.5183,0.1207,3
113.8182,0.3832,2.419,104.607,0.5295,0.1392,3
114.9523,0.3912,2.4198,103.281,0.5522,0.1369,4
118.1195,0.3875,2.4156,103.619,0.5711,0.1258,4
117.438,0.4105,2.4103,107.0913,0.5944,0.1373,4
118.0914,0.4246,2.3988,114.4241,0.6105,0.144,4
113.0638,0.4276,2.4016,117.6231,0.5735,0.1624,4
103.8689,0.4233,2.4238,116.9296,0.5213,0.1794,3
102.5756,0.4102,2.432,116.5041,0.5011,0.1754,3
102.3162,0.4227,2.359,118.5248,0.4466,0.2139,3
103.9411,0.4437,2.3345,117.9786,0.4647,0.2269,3
108.7225,0.466,2.3214,119.2075,0.5188,0.2253,3
110.909,0.478,2.3242,115.5298,0.5563,0.2205,4
113.7454,0.4519,2.4036,113.9546,0.6179,0.1662,4
116.8181,0.4217,2.4427,108.8407,0.6375,0.1277,4
119.9484,0.4095,2.4385,104.9485,0.6446,0.1135,4
122.0274,0.4072,2.4272,104.7761,0.6514,0.1092,4
121.1002,0.4024,2.4227,105.5473,0.63,0.1141,4
119.2824,0.4026,2.427,107.1965,0.6162,0.1198,4
116.583,0.3935,2.4236,111.0741,0.5739,0.1296,4
113.9443,0.395,2.4219,112.2649,0.5514,0.1406,4
115.0056,0.4043,2.423,112.3648,0.5756,0.1388,4
119.2835,0.3971,2.4237,112.1283,0.6048,0.1198,4
122.6032,0.403,2.4239,111.1645,0.6478,0.107,4
121.044,0.4193,2.4175,113.2045,0.6499,0.1214,4
117.6556,0.4215,2.4124,116.6135,0.615,0.1385,4
113.5447,0.4321,2.4061,116.1002,0.5887,0.1598,4
111.4841,0.4199,2.4124,117.1481,0.5597,0.1605,4
116.5061,0.3888,2.4283,117.4749,0.5707,0.1264,4
120.8516,0.3663,2.4349,116.4027,0.5848,0.0998,4
122.1246,0.3654,2.4299,117.3125,0.5916,0.0964,4
122.319,0.3826,2.417,116.3633,0.6071,0.1062,4
119.2698,0.3881,2.4003,118.3485,0.568,0.1286,4
114.719,0.4056,2.3865,119.2326,0.5392,0.1574,3
111.9046,0.4257,2.381,121.2379,0.5408,0.1755,3
109.1266,0.4414,2.3814,121.8626,0.5437,0.1889,3
