GR,NPHI,RHOB,DT,VCL,PHIE,FACIES_2010_New
179.3872986,0.469999999,2.265000105,107.8479996,1,0,2
175.0791931,0.5,2.253000021,114.8939972,1,0,2
181.5722961,0.513999999,2.240499973,117.6845017,1,0,2
188.0653992,0.527999997,2.227999926,120.4749985,1,0,2
186.4642944,0.625999987,2.209000111,129.1430054,1,0,2
177.8312988,0.637000024,1.769999981,130.4290009,1,0,2
172.1663971,0.469000012,1.972000003,128.1040039,1,0,2
178.5424042,0.5,2.084000111,124.3600006,1,0,2
175.6219025,0.736999989,2.048500061,122.2610016,1,0,2
183.5283051,0.893000007,1.919999957,113.1930008,1,0,2
179.4864044,0.814999998,2.006000042,112.5579987,1,0,2
186.8834992,0.677999973,1.912999988,127.5729981,1,0,2
176.282898,0.742999971,1.914000034,130.7440033,1,0,2
158.9924927,0.670000017,1.802000046,127.1240006,1,0,2
169.918396,0.648999989,1.691499949,126.3470001,1,0,2
180.8444061,0.628000021,1.58099997,125.5699997,1,0,2
172.7283936,0.625999987,1.661999941,122.5419998,1,0,2
167.9855042,0.893999994,1.625,114.3619995,1,0,2
171.2481995,0.763999999,1.978999972,129.2799988,1,0,2
178.0447998,0.786000013,2.13199997,140.7649994,1,0,2
182.8506012,0.765999973,1.934999943,138.5330048,1,0,2
174.5274963,0.819000006,1.909999967,137.9924927,1,0,2
166.2044067,0.871999979,1.884999991,137.4519959,1,0,2
180.9319,0.795000017,1.702000022,134.1529999,1,0,2
171.408905,0.751999974,1.746999979,127.2979965,1,0,2
181,0.683000028,1.652999997,122.2170029,1,0,2
176.6564941,0.732500017,1.656999946,118.302002,1,0,2
172.3130035,0.782000005,1.661000013,114.387001,1,0,2
179.5095062,0.654999971,1.569000006,102.7350006,1,0,2
171.4591065,0.579999983,1.564000011,99.4489975,1,0,2
161.8769989,0.662000001,1.539000034,91.59400177,1.106999993,0,2
160.6770935,0.603999972,1.595000029,88.4940033,1.096199989,0,2
153.6985931,0.564499974,1.955000043,89.27249908,1.033300042,0,2
146.7200012,0.524999976,2.315000057,90.0510025,1.034800053,0,2
140.4506989,0.430999994,2.191999912,90.61599731,0.557399988,0.175099999,0
148.4947052,0.374000013,2.279999971,93.5490036,0.692600012,0.045499999,0
135.5883026,0.416000009,2.298000097,94.01200104,0.618099988,0.126699999,0
155.2436981,0.423000008,2.301000118,95.17900085,0.913399994,0.0003,0
168.7738953,0.426999986,2.247999907,93.98999786,0.970799983,0,2
182.3040009,0.430999994,2.194999933,92.8010025,1.028100014,0,0
165.5511017,0.351999998,2.09800005,92.89900208,0.569599986,0.134800002,0
146.8554993,0.335999996,2.134999991,93.72200012,0.373699993,0.241699994,0
159.6240997,0.356999993,1.925999999,103.052002,0.420700014,0.215000004,0
153.5287933,0.358999997,1.974499941,100.026001,0.365799993,0.239099994,0
147.4028931,0.361000001,2.023000002,97,0.284700006,0.275000006,0
154.6829987,0.384999991,2.128000021,97.05400085,0.585600019,0.134000003,0
137.8477936,0.372999996,2.155999899,112.5670013,0.349700004,0.254400015,0
164.8181,0.433999986,1.962000012,114.4479981,0.554700017,0.151099995,0
149.8206024,0.416000009,2.138999939,111.9290009,0.620700002,0.104099996,0
144.6990967,0.407999992,2.180000067,109.7734985,0.553799987,0.174799994,0
139.490799,0.400000006,2.220999956,107.6179962,0.5176,0.190400004,0
128.0278015,0.35800001,2.000999928,110.4960022,0.051399998,0.36680001,0
146.0550995,0.35800001,2.174999952,108.7740021,0.461699992,0.208900005,0
134.3190002,0.358999997,2.201999903,106.4820023,0.349000007,0.239099994,0
145.3305054,0.340999991,2.206500053,104.6344986,0.454600006,0.206599996,0
156.3419952,0.323000014,2.210999966,102.7870026,0.579400003,0.138099998,2
150.3851929,0.381999999,2.198999882,98.67900085,0.638499975,0.084799998,2
152.3489075,0.328000009,2.210999966,96.02400208,0.554400027,0.166500002,2
129.3677979,0.384000003,2.127000094,94.88700104,0.264899999,0.285899997,0
126.4885025,0.370999992,2.028000116,91.46299744,0.083700001,0.354200006,0
120.5643997,0.370000005,2.088999987,90.51499939,0.142199993,0.328399986,0
114.6404038,0.368999988,2.150000095,89.56700134,0.208700001,0.290100008,0
115.8338013,0.344999999,2.214999914,90.16400147,0.248699993,0.250400007,0
124.9324036,0.416000009,2.242000103,92.29299927,0.471399993,0.206599996,0
134.2996979,0.351999998,2.130000114,95.06099701,0.233899996,0.289799988,0
138.0014954,0.314500004,2.03550005,96.61000061,0.129500002,0.336299986,0
141.7032929,0.27700001,1.940999985,98.15899658,0.175300002,0.319999993,0
118.8996964,0.268000007,2.227999926,97.06400299,0.105700001,0.255199999,0
142.2485962,0.356999993,2.204999924,97.68199921,0.437599987,0.216100007,0
132.2368927,0.389999986,2.177999973,101.1289978,0.367500007,0.247299999,0
132.5558929,0.356000006,2.171000004,97.07700348,0.285600007,0.262600005,0
140.3085938,0.363999993,2.196000099,96.16149902,0.414099991,0.225899994,0
148.0612946,0.372000009,2.220999956,95.2460022,0.596899986,0.135900006,0
148.5603027,0.279000014,2.256000042,95.86799622,0.452399999,0.162900001,0
139.8809967,0.349999994,2.285000086,95.17900085,0.50120002,0.168599993,0
137.6947937,0.342000008,2.190000057,94.66100311,0.327100009,0.242400006,0
138.8309937,0.344999999,2.164999962,92.1949997,0.3116,0.255499989,0
139.9671936,0.34799999,2.140000105,89.72899628,0.297199994,0.26820001,0
128.1743927,0.405000001,2.144000053,85.68599701,0.327600002,0.261799991,0
150.8455963,0.402999997,2.148000002,83.84799957,0.618200004,0.104800001,0
133.5113983,0.411000013,2.154000044,83.53900147,0.390100002,0.238900006,0
119.8153,0.421999991,2.121999979,84.44599915,0.299600005,0.270799995,0
129.0457001,0.351000011,2.253000021,86.3010025,0.364899993,0.205300003,0
138.2760925,0.280000001,2.384000063,88.15599823,0.465799987,0.112899996,0
146.7406006,0.275000006,2.545000076,96.52100372,0.805000007,0,3
127.3038025,0.305999994,2.454999924,97.55699921,0.536199987,0.086000003,3
128.6463928,0.465000004,2.401000023,98.07099915,0.817600012,0.0061,3
149.147995,0.483999997,2.173000097,98.56800079,0.800800026,0.0065,0
143.8643951,0.430000007,2.176000118,98.14099884,0.582599998,0.158700004,0
138.5807953,0.375999987,2.178999901,97.71399689,0.396200001,0.236699998,0
132.1636047,0.345999986,2.198999882,97.20999908,0.299499989,0.246199995,0
142.4980011,0.388000011,2.154000044,98.32099915,0.438699991,0.219600007,0
144.0977936,0.386999995,2.173000097,98.79299927,0.487899989,0.200200006,0
135.9875946,0.378500015,2.167000055,98.97550201,0.358200014,0.251199991,0
127.8772965,0.370000005,2.161000013,99.15799713,0.272700012,0.271400005,0
132.8311005,0.485000014,2.201999903,99.09799957,0.613600016,0.130999997,0
142.0928955,0.407999992,2.210999966,98.84799957,0.555599988,0.175400004,0
129.5415039,0.377000004,2.178999901,98.54000092,0.322499991,0.257099986,0
162.388794,0.360000014,2.164000034,97.80500031,0.649999976,0.059799999,0
