DEPTH,GR_F,RTds,RHOBC,NPHIC,DT4P,Perm_Core_ds,Pore_Core_ds,PorZ_Core_ds,RHOB_Core_ds,Rqi_Core_ds,Rqi_spec_Core,Soil_Core_ds,Swir_spec_Core,Sw_Core_ds,PHIE_D,PHIE_FINAL,PHIE_N,PHIE_ND,PHIE_S,PHIE_sand,Swi_Porz10,Swi_Porz9,Swi_Rqi10,Swi_Rqi9,Sw_Ind,Sxo_Ind,TypeRock,VCL_disp,VCL_FINAL,VCL_lam
1792.5288,98.8329,0.7402,2.3656,0.379,113.0604,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0959,0.1505,0.1582,0.1505,0.1645,0.1222,0.3306,0.6487,0.4668,0.6528,0.9593,1.0904,4,0.0474,0.5625,0.5151
1792.6812,100.3263,0.7577,2.3583,0.3956,115.2508,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0967,0.1519,0.1595,0.1519,0.1622,0.125,0.3294,0.6439,0.459,0.6448,0.9183,1.0515,4,0.042,0.5998,0.5578
1792.8336,101.0216,0.7521,2.3573,0.41,116.2237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0943,0.1533,0.161,0.1533,0.1539,0.1293,0.3283,0.6393,0.4514,0.6372,0.8988,1.0147,4,0.0368,0.6311,0.5943
1792.986,105.6227,0.8618,2.3744,0.4116,117.5936,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.076,0.1249,0.1312,0.1249,0.1262,0.0328,0.3542,0.7515,0.6495,0.8383,0.878,1.0001,4,0.0672,0.708,0.6408
1793.1384,110.6044,1.2726,2.3964,0.3941,115.8517,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0557,0.0826,0.0864,0.0826,0.0805,0,0.4106,1.0284,1.2296,1.4246,0.806,0.9719,4,0.1179,0.7747,0.6569
1793.2908,114.9035,1.3802,2.4105,0.3663,113.0529,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0422,0.0397,0.0392,0.0397,0.0366,0,0.5268,1.7468,2.849,3.055,0.912,1.112,4,0.1735,0.8221,0.6486
1793.4432,116.9643,1.1649,2.4196,0.3473,111.1327,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0342,0.0145,0.0105,0.0145,0.0107,0,0.7323,3.5169,6.2897,6.5108,1.1328,1.2979,4,0.2079,0.8459,0.638
1793.5956,113.892,1.0552,2.4239,0.3516,109.4801,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0372,0.0378,0.0379,0.0378,0.0264,0,0.5353,1.807,2.9811,3.1878,1.0854,1.2112,4,0.1785,0.7894,0.6109
1793.748,113.4979,1.1913,2.4203,0.3613,108.1322,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0389,0.0446,0.0455,0.0446,0.014,0,0.5067,1.6083,2.5415,2.7458,0.9793,1.1431,4,0.1683,0.7945,0.6263
1793.9004,111.5831,1.1411,2.4221,0.3669,109.2852,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0401,0.0582,0.0609,0.0582,0.0343,0,0.4631,1.3283,1.9084,2.1087,0.9529,1.0902,4,0.1509,0.7705,0.6196
1794.0528,109.9172,1.0484,2.4146,0.3755,111.4836,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0469,0.0741,0.0781,0.0741,0.0607,0,0.4263,1.1138,1.4208,1.6174,0.9401,1.0432,4,0.1311,0.7497,0.6187
1794.2052,112.1765,1.2067,2.3884,0.3756,111.6586,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0618,0.0713,0.0728,0.0713,0.0555,0,0.4321,1.1462,1.4941,1.6913,0.8762,0.9727,4,0.1365,0.7628,0.6263
1794.3576,108.0415,1.3245,2.3911,0.364,113.1088,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0686,0.0923,0.096,0.0923,0.108,0,0.3948,0.9463,1.0495,1.2428,0.8092,0.9027,4,0.1155,0.6779,0.5625
1794.51,103.5053,1.4747,2.3737,0.3648,113.4221,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0871,0.1231,0.1285,0.1231,0.1485,0.0504,0.3561,0.7599,0.6655,0.8545,0.7167,0.789,4,0.0816,0.6005,0.5188
1794.6624,100.4465,1.6091,2.3397,0.3746,113.4958,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1135,0.154,0.16,0.154,0.1752,0.1265,0.3277,0.637,0.4479,0.6335,0.6369,0.6748,3,0.0467,0.5473,0.5006
1794.8148,98.1354,1.7006,2.3623,0.3679,112.3375,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1009,0.1518,0.1592,0.1518,0.1737,0.1246,0.3295,0.6445,0.4598,0.6457,0.6302,0.6386,3,0.0492,0.533,0.4838
1794.9672,98.9509,1.6892,2.3749,0.3573,110.7102,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0927,0.1404,0.1474,0.1404,0.1602,0.0987,0.3393,0.6859,0.5296,0.7166,0.6575,0.6552,3,0.064,0.5361,0.4721
1795.1196,100.7273,1.4272,2.4007,0.3468,109.1966,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0741,0.1191,0.1258,0.1191,0.1358,0.0509,0.3604,0.7797,0.7037,0.8932,0.7627,0.7988,4,0.0889,0.5631,0.4741
1795.272,103.3446,1.1376,2.4396,0.3403,107.2084,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0441,0.0889,0.0954,0.0889,0.0924,0,0.4001,0.9735,1.1086,1.3025,0.9296,0.9904,4,0.1219,0.6215,0.4996
1795.4244,104.762,0.967,2.4234,0.3561,106.46,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0512,0.0932,0.0993,0.0932,0.0727,0,0.3935,0.9394,1.0344,1.2276,0.971,1.0127,4,0.114,0.6504,0.5364
1795.5768,105.8027,0.8325,2.4047,0.3801,106.5003,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0593,0.1024,0.1084,0.1024,0.0551,0,0.3805,0.875,0.8974,1.0892,0.9855,1.0383,4,0.0986,0.6867,0.5881
1795.7292,103.3366,0.7815,2.4077,0.3956,105.4843,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0577,0.1175,0.1251,0.1175,0.049,0.0231,0.3622,0.7881,0.7202,0.9099,0.9638,1.0239,4,0.0775,0.6839,0.6064
1795.8816,101.7097,0.8644,2.415,0.3894,105.0779,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0554,0.12,0.1283,0.12,0.0574,0.0374,0.3594,0.7751,0.6949,0.8843,0.9196,0.9901,4,0.0757,0.6608,0.5851
1796.034,99.5101,0.9999,2.4423,0.3738,106.1252,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0409,0.1135,0.1228,0.1135,0.0772,0.03,0.3668,0.8094,0.7626,0.9529,0.8884,0.9577,4,0.0853,0.6363,0.551
1796.1864,98.5832,1.1655,2.4626,0.3611,107.3596,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0295,0.1051,0.1149,0.1051,0.092,0.0153,0.3771,0.8583,0.8625,1.0539,0.8548,0.9165,4,0.0966,0.6247,0.528
1796.3388,100.1268,1.2865,2.4368,0.3686,108.1033,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0451,0.1118,0.1207,0.1118,0.0954,0.0269,0.3688,0.8185,0.781,0.9715,0.7874,0.8344,4,0.0888,0.6288,0.54
1796.4912,97.4102,1.3858,2.4079,0.3887,112.9401,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0653,0.1406,0.1502,0.1406,0.1423,0.101,0.3391,0.685,0.528,0.715,0.6919,0.7245,4,0.0533,0.6057,0.5525
1796.6436,95.699,1.4049,2.3915,0.4037,116.3615,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0763,0.1582,0.1683,0.1582,0.1713,0.1488,0.3244,0.6233,0.4263,0.6116,0.6504,0.6749,4,0.0308,0.5979,0.5671
1796.796,94.2868,1.3914,2.3852,0.4205,117.9152,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0793,0.1708,0.1815,0.1708,0.1783,0.1877,0.315,0.5856,0.3708,0.5549,0.624,0.6518,4,0.0131,0.6069,0.5938
1796.9484,90.934,1.3445,2.3573,0.4442,119.6617,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0983,0.2007,0.212,0.2007,0.1993,0.2663,0.2956,0.5118,0.2809,0.4626,0.5869,0.6211,4,0,0.5903,0.5903
1797.1008,93.0004,1.2921,2.3371,0.4622,119.7998,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.108,0.208,0.2182,0.208,0.1863,0.2922,0.2915,0.4965,0.2662,0.4473,0.5776,0.6152,4,0,0.6189,0.6189
1797.2532,98.1862,1.1622,2.3269,0.4626,119.5765,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1103,0.1933,0.2019,0.1933,0.1645,0.2625,0.3001,0.5284,0.2987,0.4809,0.6219,0.6639,4,0,0.6597,0.6597
1797.4056,101.0088,1.0614,2.2917,0.4565,117.793,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1335,0.1943,0.2016,0.1943,0.1583,0.2566,0.2995,0.5261,0.2961,0.4783,0.6555,0.703,4,0,0.6458,0.6458
1797.558,105.4089,1.0685,2.2867,0.4314,117.4617,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.136,0.1689,0.1736,0.1689,0.1525,0.1694,0.3163,0.5909,0.3783,0.5626,0.7012,0.7472,4,0.0185,0.6527,0.6342
1797.7104,108.0431,1.1031,2.2968,0.4094,117.9366,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1287,0.1451,0.1476,0.1451,0.1511,0.0891,0.3352,0.6682,0.4992,0.6857,0.7398,0.7835,4,0.0508,0.6625,0.6117
1797.8628,105.3503,1.2205,2.2918,0.4047,116.9085,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1368,0.1602,0.1638,0.1602,0.1686,0.1366,0.3229,0.6171,0.4169,0.602,0.6896,0.7339,4,0.0353,0.6116,0.5763
1798.0152,102.1575,1.4342,2.3092,0.4039,117.8408,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1285,0.1674,0.1731,0.1674,0.1876,0.161,0.3175,0.5954,0.3847,0.5691,0.629,0.6734,4,0.0259,0.5869,0.561
1798.1676,100.3444,1.5713,2.3131,0.401,120.9942,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1283,0.1728,0.1792,0.1728,0.2216,0.1755,0.3136,0.5801,0.3632,0.5471,0.5979,0.6263,4,0.0203,0.565,0.5447
1798.32,97.1664,1.5471,2.2837,0.4083,123.2345,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1515,0.2001,0.2071,0.2001,0.2629,0.2367,0.296,0.5131,0.2823,0.4641,0.5733,0.5935,3,0,0.5146,0.5146
