GR,NPHI,RHOB,DT,VCL,PHIE
120.717598,0.307999998,2.26699996,106.0039978,0.350199997,0.194100007
126.5129013,0.345999986,2.236000061,109.862999,0.410899997,0.205699995
123.615303,0.354499996,2.229000092,109.1679993,0.424400002,0.209800005
120.717598,0.363000006,2.221999884,108.4729996,0.43779999,0.213599995
115.8371964,0.335999996,2.27699995,109.0650024,0.463099986,0.177000001
109.4756012,0.300999999,2.344000101,108.0179977,0.486999989,0.127800003
107.5287018,0.284999996,2.355999947,108.1159973,0.459300011,0.124200001
114.5108032,0.319999993,2.260999918,107.8939972,0.377299994,0.194999993
116.0441971,0.344999999,2.234999895,109.9380035,0.405600011,0.208399996
117.5776978,0.370000005,2.209000111,111.9820023,0.433899999,0.215100005
120.1815033,0.381000012,2.209000111,114.2590027,0.470099986,0.201399997
118.5907974,0.388999999,2.256000042,116.8590012,0.593999982,0.154300004
120.2432022,0.386000007,2.246000052,117.5510025,0.563300014,0.165900007
121.5626984,0.404000014,2.227499962,116.1419983,0.584200025,0.158000007
122.8822022,0.421999991,2.209000111,114.7330017,0.605000019,0.149399996
122.6959992,0.439999998,2.230000019,107.5370026,0.707799971,0.057799999
123.0886002,0.437000006,2.250999928,100.0530014,0.741599977,0.035799999
123.4862976,0.425000012,2.308000088,89.46900177,0.8204,0.0088
119.3546982,0.409000009,2.285000086,81.46099854,0.720000029,0.0491
117.8206024,0.425000012,2.220499992,84.01300049,0.638800025,0.120899998
116.286499,0.441000015,2.155999899,86.56500244,0.557500005,0.168099999
111.2978973,0.430000007,2.035000086,86.73799896,0.270099998,0.277399987
110.276001,0.416999996,2.045000076,92.31800079,0.248099998,0.285699993
111.4123993,0.381000012,2.190000057,97.71900177,0.430599988,0.216399998
111.9466019,0.370000005,2.261499882,96.14350128,0.542900026,0.173700005
112.4807968,0.358999997,2.332999945,94.56800079,0.655099988,0.104900003
116.1166,0.331999987,2.34800005,100.7340012,0.59740001,0.115199998
115.0531998,0.317999989,2.319000006,101.9540024,0.491100013,0.143700004
118.4610977,0.324999988,2.336999893,96.375,0.551500022,0.122599997
119.3294983,0.342000008,2.368999958,99.55400085,0.673900008,0.086800002
117.5889969,0.333999991,2.388999939,104.0074997,0.689100027,0.073100001
115.8485031,0.326000005,2.40899992,108.4609985,0.704299986,0.060600001
116.251297,0.326000005,2.415999889,105.6559982,0.718800008,0.049899999
117.6557007,0.331,2.40199995,98.95999908,0.706200004,0.059099998
124.2451019,0.358999997,2.40199995,98.81300354,0.798300028,0.0136
124.3539963,0.35800001,2.40899992,98.93499756,0.809599996,0.0109
124.4628983,0.356999993,2.415999889,99.05699921,0.820800006,0.0087
126.9621964,0.386000007,2.423000097,107.9349976,0.930800021,0.0005
129.6893005,0.365999997,2.41899991,107.9400024,0.856700003,0.004
127.8457031,0.404000014,2.413000107,110.4020004,0.969299972,0.0001
130.6860962,0.370999992,2.398000002,110.2959976,0.82950002,0.0073
130.0995941,0.370999992,2.391000032,105.8444977,0.814999998,0.0098
129.5131989,0.370999992,2.384000063,101.3929977,0.800499976,0.013
130.7377014,0.331,2.36500001,105.1989975,0.629400015,0.097199999
121.8237991,0.330000013,2.335000038,109.3270035,0.563799977,0.122699998
118.0270004,0.363000006,2.303999901,107.7099991,0.608099997,0.139300004
114.9599991,0.412000001,2.257999897,109.5179977,0.673799992,0.086800002
115.5541,0.42750001,2.23149991,110.7024994,0.669799984,0.090599999
116.1481018,0.442999989,2.204999924,111.887001,0.665799975,0.094400004
111.4841003,0.439999998,2.177999973,99.51499939,0.599900007,0.151999995
116.8238983,0.437999994,2.180999994,99.15499878,0.599500001,0.152199999
110.9164963,0.446999997,2.171999931,98.74700165,0.610499978,0.145699993
112.7061005,0.442499995,2.180500031,102.3824997,0.613300026,0.143600002
114.495697,0.437999994,2.188999891,106.0179977,0.61619997,0.141399995
113.0182037,0.423999995,2.219000101,106.0179977,0.632399976,0.127000004
121.2083969,0.409999996,2.197999954,113.0979996,0.542699993,0.173800007
117.1498032,0.430000007,2.154999971,100.4929962,0.519200027,0.182699993
110.2494965,0.437999994,2.155999899,102.9329987,0.547599971,0.171900004
