GR,NPHI,RHOB,DT,VCL,PHIE
103.0747376,0.202179998,2.455519915,92.71118164,0.965020001,0.00953379
105.3589554,0.235599995,2.546720028,89.95580292,1,0
96.48660278,0.248119995,2.500120163,90.57372284,0.889599979,0
82.03614044,0.217999995,2.391200066,91.09989929,0.458900005,0.1012
67.73715973,0.198800013,2.379800081,91.13085938,0.266680002,0.136943743
59.68953323,0.176919997,2.372799873,91.02381897,0.164920002,0.156482816
57.17404938,0.161199987,2.359420061,90.60310364,0.123580001,0.170813471
57.03216934,0.166839987,2.329339981,92.99261475,0.124340005,0.189111322
55.92038727,0.171000004,2.316600084,95.03649902,0.111100003,0.198899999
53.80812454,0.174239993,2.310100079,96.20635986,0.093359999,0.205480859
52.03619385,0.174160004,2.313419819,95.56568146,0.0726,0.206561923
52.12530136,0.184599996,2.318159819,95.27281952,0.073619999,0.203503907
55.82051086,0.200679988,2.341279984,94.10314179,0.129859999,0.180921882
62.8032608,0.200100005,2.377000094,92.5358963,0.198799998,0.148800001
71.79733276,0.194460005,2.421639919,90.6991806,0.308600009,0.105179295
79.15783691,0.186540008,2.480400085,87.96089935,0.562319994,0.031267189
81.44795227,0.219180003,2.468999863,86.96892548,0.641040027,0.026410351
80.14729309,0.236859992,2.440560103,87.05187988,0.602600038,0.049512889
76.70884705,0.240600005,2.416199923,86.66979981,0.569599986,0.069300003
71.59269714,0.236340001,2.374260187,91.90058136,0.333920002,0.130170703
69.76067352,0.224291995,2.346212149,96.20419312,0.296207994,0.152960941
70.53970337,0.225400001,2.412231922,98.98735046,0.319132,0.109337501
73.19438934,0.218631998,2.477560043,97.61404419,0.371068001,0.061650977
76.23339081,0.219260007,2.523159981,93.03937531,0.433548003,0.024506446
79.84016419,0.216176003,2.543911934,87.37068176,0.570840001,0
84.83979797,0.218007997,2.535640001,81.6506424,0.753736019,0
87.55770874,0.223008007,2.533303976,79.91052246,0.792595983,0
88.05800629,0.235415995,2.536544085,80.18789673,0.792356014,0
90.94915772,0.254307985,2.549351931,81.46405029,0.837472022,0
93.81447601,0.274771988,2.568720102,82.42431641,0.895656049,0
96.21818543,0.291107982,2.567384005,86.51461029,0.931232035,0
95.19271088,0.30922401,2.556855917,91.30887604,0.931751967,0
99.58631897,0.31666401,2.554216147,92.58543396,0.979799986,0
101.1202087,0.337996006,2.542191982,94.63470459,0.999279976,0
105.6027145,0.355263978,2.535599947,95.4119339,1,0
109.5427628,0.367047995,2.542872191,94.40202332,1,0
118.2888107,0.335552007,2.538424015,93.11965179,1,0
117.2672195,0.311672002,2.524863958,93.72577667,1,0
103.0097504,0.257891983,2.428964138,93.79222107,1,0
83.070961,0.209079996,2.327515841,94.19697571,0.648383975,0.111491993
70.4528122,0.183351994,2.277732134,95.20105743,0.297816008,0.194492966
68.73977661,0.172724009,2.274904013,95.23806763,0.284532011,0.198210552
67.6287384,0.173756003,2.274951935,96.12755585,0.267060012,0.200853124
60.18024063,0.187943995,2.291131973,94.483078,0.1611,0.206819534
49.44930649,0.212924004,2.297683954,94.63792419,0.035583999,0.221706063
42.4332428,0.218483999,2.326243877,94.93672943,0.002784,0.20915781
40.85712051,0.213975996,2.340335846,94.7035141,0.001328,0.200763285
