GR,NPHI,RHOB,DT,VCL,PHIE
99.39309692,0.287999988,2.467000008,92.30799866,1,0
113.6372986,0.320499986,2.513000011,97.37799835,1,0
127.8895035,0.352999985,2.559000015,102.4479981,1,0
115.7897034,0.326999992,2.219000101,99.86699677,0.557900012,0.147599995
128.6658936,0.351999998,2.346999884,103.0579987,1,0
129.9188995,0.368000001,2.411000013,104.2429962,1,0
138.348999,0.356999993,2.437999964,103.4520035,1,0
140.3327026,0.409999996,2.434999943,103.3635025,1,0
142.3164063,0.463,2.431999922,103.2750015,1,0
136.7993012,0.423999995,2.40899992,102.0709992,1,0
131.4069061,0.412000001,2.463999987,103.6090012,1,0
156.1058044,0.349000007,2.407000065,105.4449997,1,0
153.9541016,0.377499998,2.409499884,105.8160019,1,0
151.8023987,0.405999988,2.411999941,106.1869965,1.311499953,0
152.5679932,0.47299999,2.424000025,106.4769974,1,0
145.142395,0.414000005,2.421999931,104.6039963,1,0
159.373703,0.433999986,2.410000086,103.5329971,1.41960001,0
135.1743012,0.488999993,2.427000046,102.375,1.073899984,0
153.3686981,0.456499994,2.41899991,105.2229996,1.333799958,0
171.5686035,0.423999995,2.411000013,108.0709992,1.593799949,0
147.3630066,0.460000008,2.397000074,115.3300018,1.248000026,0
152.272995,0.569999993,2.391000032,117.6839981,1,0
141.6979065,0.515999973,2.368999958,117.0390015,1,0
132.0554047,0.468499988,2.431999922,116.6900024,1,0
122.4251022,0.421000004,2.494999886,116.3410034,1,0
142.6761017,0.400000006,2.509000063,119.2450028,1,0
146.1743927,0.523999989,2.322999954,117.9410019,1.231099963,0
143.7615967,0.628000021,1.925999999,119.9479981,1.19659996,0
139.8939972,0.547999978,2.41899991,116.0589981,1,0
144.7906952,0.514500022,2.439500094,114.7669983,1,0
149.5858002,0.481000006,2.460000038,113.4749985,1,0
159.2084961,0.509999991,2.453999996,108.0100021,1,0
154.0773926,0.433999986,2.434000015,104.973999,1,0
153.4958038,0.455000013,2.427000046,104.5950012,1,0
157.5648956,0.467500001,2.42050004,105.2275009,1,0
161.6322937,0.479999989,2.414000034,105.8600006,1,0
156.2680969,0.474000007,2.405999899,107.7040024,1,0
149.0587006,0.437000006,2.457999945,111.2740021,1,0
144.3789978,0.453999996,2.440000057,112.2310028,1,0
145.9248047,0.419999987,2.398999929,112.439003,1,0
149.5843964,0.479499996,2.405499935,112.2450028,1,0
153.2429962,0.538999975,2.411999941,112.0510025,1,0
169.5565033,0.416000009,2.459000111,110.9710007,1,0
158.8903961,0.416000009,2.444999933,113.0490036,1,0
159.1031036,0.474000007,2.398000002,116.9369965,1,0
139.8650971,0.551999986,2.374000073,115.689003,1,0
142.2980042,0.52700001,2.396500111,116.5485001,1,0
144.7301025,0.501999974,2.41899991,117.4079971,1,0
154.3686066,0.393999994,2.440999985,117.4810028,1,0
147.7144928,0.402999997,2.446000099,116.2160034,1,0
171.0106964,0.405999988,2.444999933,117.5889969,1,0
160.6714935,0.432500005,2.425499916,116.8105011,1,0
150.3354034,0.458999991,2.405999899,116.0319977,1,0
158.6546021,0.485000014,2.401000023,118.9509964,1,0
144.5955963,0.451000005,2.378999949,119.2080002,1,0
153.471695,0.414999992,2.375999928,121.1299973,1,0
141.6625061,0.51700002,2.371000052,121.5950012,1,0
140.5820007,0.541499972,2.380500078,122.1880035,1,0
139.5016022,0.565999985,2.390000105,122.7809982,1,0
146.4120941,0.488000006,2.40199995,121.9290009,1,0
146.9085999,0.490999997,2.364000082,123.0159988,1,0
131.2503967,0.546999991,2.017999888,125.1600037,1.01789999,0
130.5227051,0.560500026,2.219000101,126.6299973,1.007500053,0
129.7951965,0.574000001,2.420000076,128.1000061,1,0
117.7193985,0.550000012,2.358999968,128.9479981,1,0
104.0031967,0.671000004,2.224999905,130.1269989,0.333099991,0.233400002
127.961998,0.651000023,2.131000042,127.7809982,0.918099999,0
134.2613068,0.465999991,2.397000074,125.9720001,1,0
142.0437927,0.467999995,2.407000065,125.7665024,1,0
149.7850037,0.469999999,2.417000055,125.560997,1,0
154.1979065,0.449000001,2.351000071,120.5810013,1,0
151.1797943,0.437999994,2.378999949,119.3190002,1,0
150.0545044,0.432000011,2.424000025,118.5429993,1,0
144.9134064,0.423999995,2.417999983,119.5759964,1,0
139.7722931,0.416000009,2.411999941,120.6090012,1,0
129.7068024,0.444999993,2.388000011,123.5329971,1,0
116.5121994,0.513999999,2.051000118,126.2050018,0.575100005,0.139599994
113.3843002,0.587000012,2.351000071,128.4400024,1,0
111.9653015,0.509999991,2.335999966,130.6600037,1,0
123.4968033,0.506500006,2.306999922,131.8679962,0.76700002,0.0111
135.0348053,0.503000021,2.278000116,133.076004,1.07190001,0
118.5911026,0.493999988,2.368999958,132.022995,1,0
129.4850006,0.505999982,2.326999903,127.935997,0.975499988,0
136.3925934,0.515999973,2.390000105,124.862999,1,0
131.0270996,0.532000005,2.415999889,117.8529968,1,0
131.6611023,0.497999996,2.401000023,116.199997,1,0
132.2949066,0.463999987,2.385999918,114.5469971,1,0
138.1004944,0.384000003,2.391000032,110.1240006,1,0
145.9125977,0.418000013,2.382999897,106.6019974,1,0
161.411499,0.433999986,2.40199995,105.6500015,1,0
140.5932007,0.382999986,2.453000069,106.5435028,1,0
119.7869034,0.331999987,2.503999949,107.4369965,1,0
147.207901,0.398000002,2.371999979,109.6230011,1,0
148.4960022,0.48300001,2.316999912,112.0390015,1.264199972,0
133.2111969,0.467999995,2.351999998,113.2089996,1,0
138.2236023,0.435000002,2.38199997,114.9369965,1,0
147.0948029,0.493000001,2.394000053,115.3239975,1,0
155.9678955,0.550999999,2.405999899,115.7109985,1,0
153.9228058,0.444999993,2.398999929,118.0810013,1,0
141.0101929,0.34799999,2.387000084,111.8990021,1,0
142.0057068,0.393000007,2.404999971,111.7440033,1,0
147.0379944,0.475499988,2.256000042,111.4725037,1.243399978,0
152.0646973,0.558000028,2.107000113,111.2009964,1.315199971,0
159.3851929,0.532000005,2.267999888,110.7710037,1.419800043,0
146.194397,0.521000028,2.378000021,114.6259995,1,0
156.8090973,0.469999999,2.424999952,115.2300034,1,0
129.0205994,0.652999997,2.142999888,114.0999985,0.957700014,0
140.2167969,0.61500001,2.255500078,114.0630035,1.146000028,0
151.4705048,0.577000022,2.368000031,114.026001,1,0
141.5509949,0.572000027,2.384000063,114.5339966,1,0
134.9526062,0.555999994,2.469000101,116.9339981,1,0
137.6950073,0.5,2.384000063,117.6880035,1,0
136.1224976,0.532500029,2.388999939,118.052002,1,0
134.5198975,0.564999998,2.394000053,118.4160004,1,0
129.7740936,0.492000014,2.438999891,119.4899979,1,0
142.1573944,0.492000014,2.415999889,119.5540009,1,0
150.5787048,0.561999977,2.398000002,119.5970001,1,0
147.2711029,0.538999975,2.391000032,117.4530029,1,0
146.6056976,0.495000005,2.39350009,117.7139969,1,0
145.9351959,0.451000005,2.395999908,117.9749985,1,0
161.9927063,0.463,2.405999899,118.651001,1,0
134.5162048,0.49000001,2.404999971,120.7340012,1,0
132.1710968,0.479999989,2.410000086,121.2850037,1,0
142.2628021,0.549499989,2.286000013,121.9909973,1.175199986,0
152.3553925,0.619000018,2.161999941,122.6969986,1.319399953,0
151.0662994,0.587000012,2.246999979,124.0589981,1.300899983,0
161.8144989,0.479000002,2.334000111,123.2570038,1,0
180.9259033,0.499000013,2.454999924,117.2440033,1,0
184.3240967,0.503000021,2.457999945,112.3639984,1,0
168.0738983,0.426999986,2.450000048,111.3659973,1,0
151.8253021,0.351000011,2.441999912,110.3679962,1,0
142.5102997,0.300999999,2.417999983,108.3600006,1,0
143.0509033,0.377000004,2.404000044,109.4169998,1,0
