GR,NPHI,RHOB,DT,VCL,PHIE,FACIES_2010_New
125.4571991,0.333000004,2.187999964,308.2934876,1,0,2
129.6125031,0.338,2.260999918,338.5985107,1,0,2
133.1011963,0.342999995,2.334000111,356.3565064,1,0,2
136.3130035,0.323000014,2.426000118,355.1109924,1,0,2
136.7082977,0.27700001,2.447999954,322.9230042,1,0,2
136.7369995,0.289000005,2.398000002,296.4363098,1,0,2
135.8972015,0.314999998,2.299999952,273.3475037,1,0,2
136.7285004,0.326000005,2.292000055,265.5954895,1,0,2
135.6138001,0.337000012,2.28399992,255.0708008,1,0,2
135.4393005,0.363999993,2.269000053,254.1166992,1,0,2
135.597702,0.395000011,2.137000084,254.6437073,1,0,2
135.1152954,0.382999986,2.173000097,253.0346985,1,0,2
133.9862061,0.344000012,2.247999907,245.7577972,1,0,2
132.8175049,0.333999991,2.312999964,240.9024963,1,0,2
132.2304993,0.324000001,2.378000021,239.8612061,1,0,2
130.9066925,0.345999986,2.375999928,248.8412933,1,0,2
125.401001,0.404000014,2.334000111,262.7630005,1,0,2
121.0055008,0.331999987,2.372999907,275.5403137,1,0,2
116.7434998,0.306499988,2.352499962,278.5150147,1,0,2
117.1661987,0.280999988,2.332000017,271.3630066,1,0,2
118.8970032,0.298000008,2.352999926,263.2697144,1,0,2
123.3359985,0.312000006,2.361999989,248.7042999,1,0,2
129.6049957,0.289999992,2.378999949,238.0097046,1,0,2
135.3578033,0.300000012,2.441999912,230.235199,1,0,2
139.1945038,0.320499986,2.444000006,230.911499,1,0,2
141.2577972,0.340999991,2.446000099,228.1027985,1,0,2
143.0552979,0.391000003,2.414000034,229.3699951,1,0,2
139.7136993,0.337000012,2.40899992,229.6123047,1,0,2
134.475296,0.384000003,2.345999956,240.5014954,1,0,2
127.9769974,0.363499999,2.282999992,250.9644928,1,0,2
123.6893005,0.342999995,2.220000029,271.3002014,1,0,2
120.8143005,0.347000003,2.237999916,291.6359863,1,0,2
118.7762985,0.437000006,2.203999996,311.031311,1,0,2
118.8156967,0.467999995,2.29399991,315.8417053,1,0,2
118.0646973,0.419999987,2.128000021,316.4161987,1,0,2
117.098999,0.417499989,2.190999985,313.6954956,1,0,2
116.8487015,0.414999992,2.253999949,308.6058044,1,0,2
114.9487,0.465000004,2.282000065,298.6534119,1,0,2
113.115303,0.481999993,2.398999929,281.6496887,1,0,2
111.5544968,0.425999999,2.397000074,270.0069885,1,0,2
112.6835022,0.391499996,2.358500004,261.0679932,1,0.068700001,2
114.1295013,0.356999993,2.319999933,260.3904114,0.324299991,0.154300004,2
115.3513031,0.365999997,2.198999882,260.802002,0.26910001,0.250400007,0
117.3590012,0.354000002,2.105000019,261.0154114,0.238600001,0.292199999,0
119.3263016,0.289999992,2,261.3833923,0.127599999,0.316700012,0
119.8270035,0.289000005,1.942999959,261.0057068,0.131500006,0.33070001,0
117.8509979,0.284500003,1.983999968,261.1700134,0.129800007,0.326599985,0
112.3150024,0.280000001,2.025000095,260.5769959,0.128199995,0.314099997,0
106.2202988,0.282000005,2.104000092,253.6300049,0.110100001,0.269300014,0
99.45469666,0.261000007,2.203999996,244.9207001,0.354000002,0.230900005,0
95.15470123,0.268999994,2.24000001,237.2557068,0.2676,0.214200005,0
92.49649811,0.326999992,2.220999956,237.6340027,0.220400006,0.230299994,0
91.59249878,0.326999992,2.211999893,241.4640045,0.224199995,0.244599998,0
92.82749939,0.326999992,2.203000069,240.7447052,0.228,0.254500002,0
94.6772995,0.333000004,2.108999968,235.8110046,0.274399996,0.260399997,0
98.15799713,0.349000007,2.131000042,226.7523041,0.309599996,0.241400003,0
100.9356995,0.305000007,2.229000092,219.8390045,0.41049999,0.209000006,0
103.3509979,0.298999995,2.247999907,216.5140076,0.433600009,0.175400004,0
103.7046967,0.293000013,2.26699996,216.0189972,0.457899988,0.183899999,0
102.6320038,0.256000012,2.08100009,214.3137054,0.434199989,0.198500007,0
100.8447037,0.248999998,2.13199997,210.9467011,0.365099996,0.210500002,0
100.5083008,0.259000003,2.204999924,208.8639984,0.343699992,0.198899999,0
101.4357987,0.280000001,2.230999947,205.985199,0.411599994,0.184,0
102.9154968,0.26699999,2.227999926,202.7615051,0.423799992,0.1743,0
103.8848038,0.254000008,2.224999905,202.3188019,0.436199993,0.157199994,0
104.8960037,0.231000006,2.278000116,205.151001,0.479499996,0.099,0
104.1729965,0.231999993,2.361999989,207.302002,1,0.0429,0
102.2553024,0.243000001,2.361000061,206.5469971,1,0,0
99.52100372,0.243000001,2.368499994,205.0140076,1,0,2
97.0007019,0.243000001,2.375999928,205.8632965,1,0,2
93.45770264,0.238000006,2.423000097,196.1793976,1,0,2
89.66269684,0.224000007,2.420000076,184.1560059,1,0,2
85.21170044,0.228,2.420000076,175.0606995,1,0,2
81.94850159,0.243000001,2.336999893,177.2767944,1,0.076399997,0
79.10250092,0.264499992,2.273000002,182.6105042,0.093800001,0.163499996,0
78.31420136,0.286000013,2.209000111,187.6488037,0.084100001,0.256799996,0
78.02300263,0.298999995,2.16899991,194.246994,0.085500002,0.273200005,0
78.73899841,0.282000005,2.155999899,200.7156982,0.087099999,0.283100009,0
79.07980347,0.289999992,2.119999886,205.136795,0.100699998,0.287699997,0
79.03949738,0.293500006,2.120500088,207.0095062,0.0933,0.293799996,0
78.71520233,0.296999991,2.121000052,208.1105042,0.086199999,0.291399986,0
78.88729858,0.270999998,2.125999928,208.9259949,0.093000002,0.29429999,0
79.51930237,0.264999986,2.071000099,209.2622986,0.097400002,0.293000013,0
79.56600189,0.261999995,2.092000008,208.3576965,0.101000004,0.292499989,0
79.96170044,0.289000005,2.145999908,207.1378021,0.094099999,0.288500011,0
80.74299622,0.294999987,2.123500109,205.7964935,0.107100003,0.290199995,0
81.6210022,0.300999999,2.101000071,205.4257965,0.121100001,0.299800009,0
83.16269684,0.300000012,2.065999985,205.027298,0.115999997,0.30340001,0
85.63230133,0.277999997,2.058000088,212.9306946,0.150299996,0.301899999,0
89.65969849,0.280000001,2.053999901,222.5457001,0.200200006,0.287800014,0
93.85399628,0.257499993,2.069000006,234.3179932,0.256500006,0.2685,0
96.94000244,0.234999999,2.084000111,232.8137054,0.323900014,0.254000008,0
97.33100128,0.257999986,2.078000069,227.4532929,0.343499988,0.256099999,0
94.76429749,0.282000005,2.045000076,219.1690064,0.274500012,0.268599987,0
90.15630341,0.261000007,2.068000078,213.1419983,0.206499994,0.25940001,0
86.48500061,0.246000007,2.239000082,207.8282013,0.148399994,0.233199999,0
84.01300049,0.247999996,2.319999933,202.2955017,0.136700004,0.139699996,0
