GR,NPHI,RHOB,DT,VCL,PHIE,FACIES_2010_New
91.3668747,0.387019992,2.324984074,103.6011887,0.833595991,0.085309379,2
91.21070099,0.390200019,2.325011969,103.4560394,0.82159996,0.087095313,2
91.61141968,0.394219995,2.339504004,102.8986664,0.83217603,0.07670977,2
91.71920776,0.367123991,2.360840082,102.1609116,0.838487983,0.062728122,2
92.01506805,0.332139999,2.38735199,98.5522995,0.837087989,0.046795312,2
92.16607666,0.296739996,2.41294384,93.11366272,0.818008006,0.034062892,2
97.75415039,0.245276004,2.492200136,92.52430725,0.942499995,0,2
102.6117935,0.233191997,2.536839962,89.55104065,1,0,2
108.6329498,0.233408004,2.560551882,85.67429352,1,0,2
106.9583893,0.233820006,2.562564135,85.74680328,1,0,2
102.8829193,0.232620001,2.559324026,84.08525085,1,0,2
95.41520691,0.227339998,2.531696081,83.3645401,0.90931201,0,2
94.23703003,0.220619991,2.503563881,85.31406403,0.877104044,0,2
92.39680481,0.222059995,2.46557188,86.61064148,0.853368044,0.000864844,2
93.7793808,0.227528006,2.440320015,87.42100525,0.876356006,0.008596876,2
89.63330078,0.231463999,2.386432171,88.64064789,0.808052003,0.051702932,0
85.73025513,0.23048,2.347624064,88.1749115,0.694011986,0.092466794,0
81.79808044,0.241604,2.328524113,91.02155304,0.484804004,0.135482624,0
77.4211731,0.249043986,2.324131966,90.93464661,0.388515979,0.15261133,0
81.6763916,0.246472001,2.334212065,91.12976837,0.49732402,0.130153909,0
88.68108368,0.234535992,2.37984395,89.97488403,0.745555997,0.064994335,0
95.74440765,0.225924,2.448148012,86.83720398,0.920160055,0,0
96.64024353,0.246616006,2.453616142,86.75559235,0.938708007,0,0
98.42889404,0.255255997,2.435208082,86.36643982,0.961075962,0.001153125,2
102.3269348,0.257436007,2.418087959,86.13816071,0.990656018,0.00076875,2
107.6656723,0.249484003,2.421895981,84.91769409,1,0,2
105.0022278,0.236152008,2.421096087,85.2558136,1,0,2
103.2725372,0.247071996,2.397019863,86.36086273,1,0,2
99.04779053,0.246999994,2.377820015,87.08925629,0.984591961,0.001057031,2
100.8517609,0.244279996,2.367527962,87.49003601,0.989727974,0.000704688,2
101.4369736,0.242472008,2.381911993,87.72009277,1,0,2
100.8183746,0.234988004,2.413275957,87.98719788,0.995576024,0.001201172,2
95.1930542,0.242280006,2.41288805,88.13122559,0.92543602,0.017960547,2
88.43842316,0.248328,2.382791996,87.89518738,0.810140014,0.053659376,2
81.54397583,0.247207999,2.305552006,87.79611206,0.543536007,0.140685946,2
72.93842316,0.238583997,2.240927935,88.49865723,0.249023989,0.224303514,0
64.71621704,0.227796003,2.218020201,90.30731201,0.098699994,0.260828525,0
58.98347473,0.223207995,2.213819981,91.3229599,0.063847996,0.268575788,0
59.08737946,0.214736,2.212836027,92.55562592,0.05576,0.270401537,0
59.31321335,0.197583988,2.220756054,93.41056061,0.06278,0.264505476,0
60.51685333,0.191431999,2.233908176,93.47029114,0.081115998,0.25375098,0
59.93645859,0.190967992,2.238215923,93.41192627,0.071960002,0.252491981,0
59.89250565,0.187295988,2.240476131,93.25326538,0.065268003,0.252092779,0
59.67832565,0.180143997,2.243211985,92.75282288,0.068148002,0.250002742,0
61.44483185,0.190779999,2.252579927,92.52927399,0.090675995,0.24091953,0
67.21852875,0.221588001,2.284955978,92.2574234,0.20138,0.204532027,0
77.34732056,0.239672005,2.333604097,91.42263794,0.346083999,0.153231248,0
87.76319122,0.247856006,2.402371883,89.97954559,0.640672028,0.070124418,0
92.95755768,0.222895995,2.516108036,87.4048233,0.856431961,0,2
90.48397064,0.166464001,2.564208031,84.22382355,0.790523946,0,2
83.44920349,0.135583997,2.540688038,79.79212189,0.478635997,0.01321289,2
76.92225647,0.139715999,2.481296063,78.66617584,0.332967997,0.065139063,0
70.35031128,0.153740004,2.402711868,78.01542664,0.247143999,0.125861913,0
64.00698853,0.188828006,2.295743942,79.28889465,0.120591998,0.210160166,0
62.46497726,0.207492009,2.278791904,82.76628876,0.106447995,0.222576559,0
64.40962982,0.216307998,2.282263994,85.03059387,0.125367999,0.217635751,0
64.92349243,0.225299999,2.277103901,87.11916351,0.137019992,0.219009757,0
60.40174866,0.246023998,2.237027884,91.55810547,0.095339999,0.24968712,0
54.71221542,0.249120012,2.211492062,92.5355072,0.021539999,0.276353121,0
55.37204361,0.234508008,2.211751938,92.33676148,0.028948,0.275085151,0
58.94298554,0.221972004,2.216167927,92.63145447,0.066459999,0.266765028,0
63.47689056,0.212167993,2.221584082,93.11755371,0.119484,0.255463481,0
61.91835785,0.2042,2.239824057,93.79921722,0.093219996,0.248350397,0
61.88990402,0.205279991,2.245896101,93.43148804,0.096483998,0.244122267,0
64.81668854,0.209148005,2.244300127,93.48773193,0.135051996,0.239277348,0
70.03404236,0.210556001,2.241299868,93.55661011,0.185427994,0.233583778,0
73.24411011,0.192624003,2.260668039,93.24623108,0.267632008,0.209434375,0
75.27198029,0.173859999,2.301487923,91.8680954,0.339731991,0.17376563,0
84.67215729,0.173692003,2.324791908,90.22296906,0.702179968,0.105154686,0
96.05503845,0.193192005,2.320512056,89.51888275,0.940075994,0.026395313,2
100.7217331,0.213384002,2.31259203,89.33699036,0.995715976,0.000297852,2
93.77495575,0.224531993,2.303868055,88.52414703,0.89485997,0.08901953,2
83.89247894,0.222272009,2.281012058,87.71022797,0.585380018,0.149368748,2
74.76777649,0.211952001,2.267283917,87.85904694,0.290179998,0.202028126,0
71.37586975,0.217831999,2.259176016,88.84609985,0.25326398,0.212513283,0
67.61862183,0.211216003,2.257088184,89.58908081,0.184903994,0.224020511,0
65.33048248,0.212435991,2.253895998,89.93742371,0.138723999,0.232892767,0
64.18572998,0.209483996,2.242772102,89.43621826,0.125752002,0.241664842,0
65.37593079,0.207731992,2.243155956,89.24208069,0.138280004,0.239550769,0
65.25686646,0.202812001,2.248728037,89.18611145,0.136547998,0.236432806,0
66.40788269,0.208979994,2.261376143,89.25559235,0.152467996,0.226262882,0
65.18439484,0.227016002,2.269984007,88.99056244,0.137395993,0.223275974,0
66.74044037,0.247311994,2.26690793,89.05872345,0.150352001,0.223279297,0
64.59247589,0.248104006,2.273844004,89.03388214,0.130863994,0.221933991,0
65.52346802,0.253931999,2.280272007,88.6418457,0.139024004,0.21677734,0
65.91454315,0.245115995,2.287191868,88.13267517,0.146127999,0.211524218,0
67.65096283,0.24852398,2.282760143,87.72406006,0.171939999,0.210344732,0
65.92662811,0.230708003,2.274672031,87.41850281,0.140096009,0.22004512,0
63.62517548,0.232028008,2.271552086,87.90966797,0.120320007,0.224921882,0
65.3694458,0.220359996,2.265644074,88.05313873,0.132264003,0.226728126,0
67.63244629,0.219615996,2.269835949,88.7326889,0.172423989,0.218143746,0
67.72521973,0.213496,2.275379896,88.91629791,0.169964001,0.215160355,0
65.14402008,0.208912,2.278432131,88.89355469,0.128823996,0.21946758,0
64.50070953,0.194391996,2.277760029,88.71763611,0.126831994,0.220140234,0
65.93497467,0.190752,2.278043985,87.74243927,0.143408001,0.217477351,0
