GR,NPHI,RHOZ,DT,VCL,PHIE,CORE_INTERVAL
79.4025,0.2323,2.357,86.1132,0.2169,0.2359,1
82.4147,0.2311,2.3735,85.4215,0.2584,0.235,1
87.0595,0.2298,2.394,84.6227,0.3131,0.2288,1
93.0637,0.2293,2.4156,83.9629,0.3872,0.2164,1
99.5541,0.229,2.4368,83.4339,0.4628,0.1995,1
105.8743,0.229,2.4553,83.2111,0.5146,0.1746,1
109.7628,0.2296,2.4694,83.1858,0.5491,0.1556,1
112.2726,0.2305,2.4803,83.2734,0.5728,0.1408,1
113.7562,0.2318,2.4861,83.4488,0.5842,0.1326,1
115.0461,0.2334,2.4897,83.6871,0.6003,0.1268,1
116.1309,0.2352,2.4917,83.9937,0.6157,0.1214,1
116.4401,0.2372,2.4914,84.5682,0.5988,0.1069,1
113.253,0.2386,2.4882,85.3569,0.5453,0.1076,1
107.3144,0.2397,2.4823,86.3009,0.4634,0.12,1
97.2026,0.2394,2.4676,87.2511,0.3469,0.1449,1
88.2239,0.2383,2.4484,87.9393,0.2641,0.1589,1
80.25,0.2367,2.4253,88.3952,0.2113,0.1631,1
78.1118,0.2337,2.4015,88.2546,0.1659,0.1688,1
74.4484,0.2306,2.3815,88.0034,0.1249,0.1755,1
69.1326,0.2272,2.3657,87.6323,0.0886,0.1835,1
69.0455,0.224,2.3599,87.3035,0.0899,0.1914,1
69.2813,0.2212,2.3579,86.9331,0.0926,0.198,1
69.6563,0.2189,2.3603,86.5052,0.0953,0.2029,1
70.8141,0.2179,2.3652,85.7659,0.1208,0.2032,1
73.055,0.2176,2.3713,84.9265,0.1489,0.2038,1
76.9366,0.218,2.3788,83.9742,0.1771,0.2057,1
81.2425,0.2197,2.3891,83.3727,0.2685,0.2047,1
89.3633,0.2222,2.4007,83.1486,0.375,0.1951,1
104.7555,0.2257,2.4139,83.546,0.491,0.1698,1
108.9803,0.2298,2.4266,84.7293,0.5446,0.1558,1
111.8316,0.2342,2.4382,86.2343,0.5826,0.1388,1
117.7335,0.239,2.4471,88.0758,0.6183,0.108,1
117.725,0.2431,2.4525,89.7382,0.6241,0.1029,1
116.9316,0.2463,2.4563,91.1785,0.6252,0.1023,1
119.5632,0.2474,2.4582,92.0944,0.6408,0.0906,1
119.5329,0.246,2.4607,92.4681,0.6434,0.0874,1
118.9225,0.2429,2.4639,92.5096,0.6419,0.0861,1
120.2514,0.2371,2.4691,92.0344,0.6447,0.079,1
118.8814,0.2301,2.476,91.1466,0.626,0.0836,1
116.1593,0.2225,2.484,89.9695,0.5958,0.0953,1
113.2975,0.215,2.4929,88.2635,0.5588,0.1142,1
109.3874,0.2084,2.5019,86.2777,0.5192,0.1266,1
105.1652,0.2025,2.5109,84.1258,0.4809,0.1336,1
103.9168,0.1983,2.5203,82.0215,0.4692,0.127,1
103.2075,0.1953,2.5305,80.2614,0.464,0.1176,1
102.9589,0.1933,2.5413,78.8037,0.464,0.1061,1
103.7367,0.1932,2.554,78.1581,0.4695,0.0953,1
103.8739,0.194,2.5663,77.8965,0.4701,0.0872,1
103.42,0.1958,2.5781,77.9891,0.4662,0.0816,1
104.4463,0.1992,2.5839,78.5039,0.4762,0.0842,1
106.2882,0.2031,2.5843,79.0883,0.4964,0.0904,1
109.0137,0.2074,2.5788,79.7481,0.5276,0.1005,1
110.2188,0.2117,2.5675,80.4456,0.5341,0.112,1
111.335,0.2158,2.5566,81.1598,0.5454,0.1216,1
112.4395,0.2196,2.5469,81.8934,0.5646,0.1285,1
112.0349,0.2228,2.5397,82.642,0.5651,0.1306,1
111.6,0.226,2.532,83.2867,0.5614,0.1322,1
111.3895,0.2293,2.5233,83.7592,0.5544,0.134,1
111.4893,0.2342,2.5135,83.7666,0.5536,0.1349,1
111.6551,0.2401,2.5048,83.6732,0.5543,0.1354,1
111.8525,0.2477,2.4987,83.5291,0.5557,0.135,1
113.9124,0.254,2.4962,83.6081,0.559,0.1348,1
115.5866,0.2581,2.4941,83.77,0.5688,0.1323,1
115.1458,0.2575,2.4904,84.0102,0.5945,0.1239,1
113.735,0.2508,2.4795,84.2161,0.6006,0.1173,1
111.9249,0.2412,2.4641,84.3925,0.5949,0.1147,1
109.8203,0.2288,2.442,84.51,0.5719,0.123,1
105.2209,0.2182,2.4194,84.567,0.5061,0.1284,1
98.9824,0.2096,2.3984,84.5714,0.4078,0.1336,1
90.1,0.2061,2.3853,84.4563,0.2458,0.1427,1
81.3918,0.2064,2.3817,84.2704,0.157,0.1573,1
73.6991,0.2091,2.3845,84.0351,0.1279,0.1735,1
71.6925,0.2152,2.3969,83.7205,0.2333,0.1826,1
74.6986,0.2218,2.4101,83.4038,0.3285,0.1833,1
81.2236,0.2286,2.4234,83.093,0.4234,0.179,1
92.263,0.2345,2.4323,82.8539,0.5783,0.1759,1
102.6802,0.2401,2.4391,82.7167,0.6131,0.1751,1
112.4268,0.2454,2.4443,82.666,0.5582,0.1761,1
117.3479,0.2506,2.4489,82.8423,0.5273,0.1802,1
117.8216,0.2551,2.4526,83.1158,0.5125,0.1827,1
114.19,0.2589,2.4555,83.479,0.5125,0.1838,1
109.909,0.2597,2.4524,84.0081,0.4598,0.1835,1
107.64,0.2587,2.4412,84.4045,0.3873,0.1619,1
107.64,0.2555,2.421,84.6512,0.2923,0.1163,1
97.6495,0.2498,2.3982,84.5714,0.2545,0.0937,1
88.9996,0.2434,2.3799,84.54,0.2343,0.0862,1
82.9272,0.2363,2.3681,84.599,0.2343,0.0977,1
81.9055,0.2297,2.3629,84.9794,0.2155,0.0996,1
80.2018,0.2238,2.3599,85.3475,0.1913,0.1064,1
76.4698,0.2188,2.3595,85.637,0.1619,0.123,1
75.0991,0.2156,2.3623,85.3717,0.1521,0.1322,1
74.5031,0.2134,2.3667,84.8247,0.1479,0.1404,1
74.6339,0.2127,2.3733,83.9051,0.1479,0.1491,1
74.9495,0.213,2.3804,83.0456,0.1499,0.1573,1
75.1271,0.2137,2.3875,82.3574,0.1524,0.1643,1
74.8311,0.215,2.3945,82.0709,0.1552,0.1687,1
75.3312,0.2162,2.4011,82.2506,0.1537,0.1723,1
76.1793,0.2172,2.4076,82.6642,0.1537,0.1744,1
77.3504,0.2177,2.4139,83.3678,0.1632,0.1724,1
77.9638,0.2175,2.4199,84.0735,0.1751,0.1703,1
78.6293,0.2168,2.4257,84.7166,0.188,0.1675,1
80.5701,0.2155,2.4305,85.0706,0.2017,0.1618,1
82.5978,0.2142,2.4348,85.1302,0.2254,0.1538,1
84.6554,0.2129,2.439,85.0086,0.254,0.1441,1
86.6227,0.2119,2.4438,84.705,0.2809,0.1309,1
88.7464,0.2116,2.4496,84.3615,0.3097,0.1151,1
90.9871,0.2118,2.4559,83.9602,0.34,0.0981,1
93.3988,0.2134,2.4622,83.233,0.374,0.0854,1
95.37,0.2155,2.4673,82.1854,0.3914,0.0748,1
96.9326,0.2181,2.4716,80.8764,0.3962,0.0661,1
96.9984,0.2201,2.4742,79.3385,0.4112,0.0626,1
97.9137,0.2213,2.4755,78.0015,0.4231,0.0615,1
99.613,0.2217,2.4756,76.85,0.4322,0.0628,1
100.2097,0.2207,2.473,76.386,0.4289,0.0638,1
100.1452,0.2196,2.4703,76.1446,0.4246,0.0689,1
99.3478,0.2185,2.4675,76.1463,0.4193,0.0784,1
99.2011,0.2185,2.4664,76.2321,0.4002,0.0977,1
96.7443,0.2193,2.4654,76.3234,0.3683,0.1124,1
91.0404,0.2208,2.4643,76.4148,0.3201,0.1198,1
89.9994,0.2233,2.4631,76.5714,0.3159,0.1216,1
89.9426,0.2259,2.462,76.7379,0.3192,0.1224,1
90.6795,0.2287,2.4613,76.909,0.3268,0.1225,1
90.8289,0.2307,2.4609,76.9549,0.3281,0.1228,1
91.2011,0.232,2.4604,76.921,0.3312,0.1223,1
92.2668,0.2319,2.4593,76.7643,0.3407,0.1197,1
92.5116,0.2303,2.4578,76.5679,0.3447,0.118,1
