Gamma,Porosity,Fluvialfacies
93.545303,0.197718,1
96.345703,0.195978,1
97.604713,0.195413,1
97.559708,0.196061,1
96.379929,0.197573,1
93.891891,0.200614,1
89.971893,0.204747,1
86.522713,0.206927,1
84.900993,0.207715,1
84.726875,0.207246,1
85.729553,0.20588,1
87.615021,0.203795,2
90.173653,0.201197,2
92.570763,0.199408,1
94.21125,0.198195,1
94.005196,0.199785,1
91.175507,0.203374,1
86.75341,0.207879,1
81.474136,0.213037,1
76.87265,0.2163,1
74.043343,0.218214,2
73.714996,0.216901,2
76.407196,0.213287,2
81.629578,0.207343,2
89.032501,0.199738,1
96.08268,0.19444,1
100.97389,0.190786,1
103.42279,0.189957,1
103.22738,0.191143,1
100.12177,0.195641,2
93.916428,0.202501,2
86.779655,0.208704,2
80.257439,0.214438,1
75.329971,0.217722,0
72.696136,0.219259,0
72.598274,0.217901,0
75.209183,0.21448,1
78.765678,0.211392,1
82.010651,0.208541,1
84.082809,0.207599,1
84.368088,0.208019,1
82.414513,0.211174,1
77.899864,0.216281,2
72.706413,0.22068,2
68.17617,0.224573,2
64.489418,0.227427,2
61.774677,0.230969,2
60.85759,0.230124,2
62.326805,0.226852,0
64.200233,0.225677,1
65.064682,0.22527,1
65.428055,0.225012,1
65.652466,0.22486,2
65.080589,0.226059,2
63.243752,0.228222,2
62.313755,0.227761,2
63.839054,0.22543,2
66.888214,0.22218,2
70.797127,0.218275,2
75.492012,0.213587,2
80.92028,0.208341,2
84.9729,0.20617,1
86.146141,0.206193,1
84.659042,0.208892,2
80.667763,0.213499,2
75.898476,0.217622,2
71.581902,0.221399,2
68.875443,0.222575,2
68.604317,0.221895,2
71.232643,0.217764,2
77.091331,0.211172,1
83.08287,0.206798,1
86.998779,0.204005,1
89.494514,0.202231,1
91.037376,0.201182,2
91.50502,0.201374,2
90.810219,0.202453,2
91.083916,0.200874,2
93.845451,0.197399,2
97.439606,0.194296,2
100.68625,0.191457,2
103.18019,0.189731,0
104.63254,0.188799,0
104.55701,0.18987,0
102.60689,0.192368,0
98.668625,0.197078,0
92.661247,0.203363,0
86.441528,0.208461,0
81.333298,0.212712,1
76.979591,0.216428,1
73.125893,0.219764,1
71.238007,0.219883,1
72.361031,0.217709,2
73.735313,0.217369,2
73.393311,0.218336,2
71.654121,0.220552,2
68.745239,0.22366,1
64.030067,0.249457,1
57.054695,0.278178,1
50.034615,0.277519,1
44.549419,0.226114,1
41.70853,0.221174,1
42.302929,0.240366,1
45.324394,0.250588,1
50.05407,0.243521,2
55.435352,0.231243,2
60.714909,0.227058,1
64.16227,0.225541,1
64.543671,0.22636,1
64.078651,0.226393,2
64.34967,0.225864,2
64.436432,0.226234,1
63.682755,0.227243,1
63.097107,0.227305,1
63.398506,0.226692,2
63.955521,0.226286,2
64.317947,0.226028,1
65.879372,0.223428,1
69.633392,0.219158,1
74.149399,0.215163,2
78.407402,0.211365,2
81.918938,0.208736,2
84.335732,0.206941,1
85.191261,0.20717,1
84.152924,0.208841,1
83.029205,0.209226,1
83.10955,0.208694,1
83.381653,0.208729,1
83.123749,0.209167,0
83.034225,0.208893,0
83.611015,0.208111,0
83.7976,0.208551,0
82.840691,0.209862,0
82.244179,0.209643,0
83.080276,0.208332,0
83.957916,0.208036,1
83.885315,0.208464,1
83.075478,0.209519,1
81.680283,0.211019,3
78.761475,0.214861,1
73.650078,0.220374,1
67.753975,0.225652,1
62.076958,0.253087,3
57.289227,0.250898,1
53.868614,0.242506,1
52.50716,0.25101,1
53.698273,0.248665,1
56.487003,0.239708,3
60.19249,0.230472,1
64.683235,0.223583,1
69.865501,0.218578,1
74.816208,0.214523,1
78.877213,0.211145,1
82.947372,0.207073,1
87.667519,0.202506,1
91.161911,0.200677,1
92.093147,0.200801,1
90.811554,0.203023,1
87.566879,0.20674,2
81.586456,0.213969,2
72.319405,0.223701,2
62.151173,0.210842,2
52.782532,0.220709,2
45.642735,0.240285,2
41.750809,0.243862,2
41.474316,0.254271,2
45.075317,0.266586,2
50.935143,0.251321,2
57.899708,0.230778,2
64.630928,0.223107,2
70.174789,0.218487,1
73.372581,0.217255,1
73.398155,0.21844,1
72.243675,0.219368,1
71.329498,0.220113,1
70.460197,0.220959,1
69.496422,0.221877,1
69.744972,0.220504,1
72.137604,0.217498,1
74.44352,0.216284,1
75.072235,0.216347,1
74.715759,0.216936,0
73.86747,0.2179,0
72.337784,0.219736,1
69.991524,0.222194,1
67.804588,0.223738,1
66.472801,0.224631,1
65.650314,0.225244,1
65.090569,0.225656,1
65.283531,0.224891,1
66.57859,0.223286,1
68.506317,0.221363,1
70.732002,0.219212,2
72.871384,0.217447,2
74.65049,0.215957,2
75.347862,0.216171,2
74.449158,0.217601,2
72.953812,0.218907,2
71.574448,0.220126,2
70.986214,0.219984,2
71.670486,0.218873,2
72.665565,0.218163,2
73.28582,0.217738,1
73.418861,0.217919,1
72.984573,0.218532,2
71.232124,0.221127,2
67.626175,0.225133,2
64.188194,0.227419,2
62.359436,0.228479,2
61.197098,0.229546,1
60.028973,0.24309,1
59.790714,0.238875,1
61.149445,0.22813,1
63.313068,0.226023,1
65.71685,0.223732,1
68.142006,0.221584,1
70.432526,0.219539,1
72.558052,0.217694,2
74.496948,0.215991,2
75.8116,0.20945,0
76.189972,0.205298,2
76.244949,0.205187,2
76.413498,0.204989,0
76.192429,0.205591,2
75.222961,0.206764,2
73.310303,0.209093,1
70.315575,0.212245,1
67.248299,0.214706,1
64.828232,0.216674,1
62.612705,0.21876,2
60.286121,0.198938,2
59.192039,0.205082,2
60.288387,0.218926,2
62.516254,0.216686,2
65.120628,0.214159,1
68.719437,0.210099,1
73.75325,0.204946,1
78.814896,0.200835,1
82.901093,0.197468,1
85.177589,0.196669,1
85.049545,0.197702,1
82.746002,0.200885,1
78.430229,0.205601,1
72.93679,0.210939,1
66.860695,0.216721,1
61.708622,0.220665,1
58.554832,0.226006,1
57.273773,0.211436,1
57.775928,0.211598,1
59.169277,0.21998,1
60.817844,0.218557,1
62.425259,0.217221,1
63.780205,0.216077,1
64.221542,0.216413,1
63.277882,0.217804,1
62.883652,0.217135,2
64.418053,0.214996,2
67.517273,0.211463,2
71.921921,0.206935,2
77.255318,0.201701,2
83.248894,0.195965,0
88.079475,0.19286,0
90.447159,0.191632,0
90.323677,0.193086,0
87.688889,0.196454,2
84.184555,0.199501,2
80.981209,0.202317,1
77.20414,0.206413,1
72.229713,0.211422,1
66.974709,0.216031,1
62.092808,0.21238,1
57.09724,0.230128,2
51.640957,0.236947,2
48.287487,0.219365,2
48.864571,0.222701,2
52.238277,0.236659,2
57.600147,0.22696,2
63.646339,0.214071,2
69.447243,0.208856,2
74.208885,0.205356,1
77.365181,0.203079,1
78.754333,0.202813,1
78.261002,0.203982,1
77.886002,0.2035,1
79.055923,0.201841,1
80.334236,0.20116,1
80.696739,0.201177,1
81.377419,0.199914,1
83.256058,0.197739,1
84.088142,0.198391,1
82.273384,0.20106,1
79.99826,0.202556,1
78.821709,0.203214,1
77.509071,0.204958,1
75.180077,0.207476,1
73.281532,0.208432,1
72.845032,0.208275,2
72.361076,0.209319,2
70.753426,0.211218,2
69.041924,0.212451,2
67.95369,0.21321,2
68.352196,0.211722,2
70.853081,0.208632,1
74.610596,0.204845,1
79.021729,0.200559,1
83.420372,0.196794,1
87.331596,0.193401,1
90.146645,0.191642,1
91.43148,0.191049,1
92.610107,0.189484,1
94.697807,0.187227,1
97.253891,0.184806,0
99.964149,0.182268,0
101.6328,0.181752,0
101.4073,0.18268,0
98.614906,0.186862,0
92.776031,0.193366,1
85.003082,0.201089,1
76.089195,0.209681,1
67.162811,0.223811,2
59.028477,0.240666,2
53.119778,0.233809,2
50.458839,0.231668,2
51.242393,0.220127,2
55.610695,0.214583,1
61.407795,0.216197,1
67.096542,0.211032,1
71.69416,0.207782,1
74.499947,0.205897,1
74.126114,0.208466,1
69.583221,0.214212,1
