wellName,DEPTH,Gamma,Porosity,Fluvialfacies
A10,1501.629,78.869453,0.267428,0
A10,1502.129,78.008301,0.256076,0
A10,1502.629,75.581558,0.242126,0
A10,1503.129,73.238037,0.238589,0
A10,1503.629,71.504173,0.238377,0
A10,1504.129,71.459229,0.240893,0
A10,1504.629,73.4478,0.244279,0
A10,1505.129,75.83062,0.256038,0
A10,1505.629,78.084259,0.270472,0
A10,1506.129,79.799255,0.266565,0
A10,1506.629,80.844872,0.256802,0
A10,1507.129,80.38166,0.256206,0
A10,1507.629,78.141602,0.258538,0
A10,1508.129,77.074661,0.253027,0
A10,1508.629,78.122734,0.245013,0
A10,1509.129,80.320938,0.249393,0
A10,1509.629,83.361206,0.257731,0
A10,1510.129,86.870644,0.261494,0
A10,1510.629,90.730186,0.263797,0
A10,1511.129,93.797852,0.244432,0
A10,1511.629,95.70903,0.218148,0
A10,1512.129,95.946472,0.217284,0
A10,1512.629,94.345032,0.224536,0
A10,1513.129,87.30777,0.246015,0
A10,1513.629,73.686234,0.272036,0
A10,1514.129,63.072395,0.283209,0
A10,1514.629,58.528858,0.289643,0
A10,1515.129,58.117874,0.284402,0
A10,1515.629,61.220753,0.275434,0
A10,1516.129,65.996002,0.264269,0
A10,1516.629,71.855675,0.252403,0
A10,1517.129,76.827644,0.237911,0
A10,1517.629,80.282249,0.222581,0
A10,1518.129,82.632019,0.231234,0
A10,1518.629,84.008675,0.247545,0
A10,1519.129,85.735664,0.241234,0
A10,1519.629,88.235558,0.2277,0
A10,1520.129,90.149986,0.24069,0
A10,1520.629,91.045235,0.262148,0
A10,1521.129,90.99617,0.259357,0
A10,1521.629,90.026672,0.248823,0
A10,1522.129,86.375076,0.245943,0
A10,1522.629,79.478905,0.245507,0
A10,1523.129,75.319756,0.252127,2
A10,1523.629,75.807526,0.261,2
A10,1524.129,80.953362,0.247642,2
A10,1524.629,90.760841,0.227184,2
A10,1525.129,97.119331,0.230177,2
A10,1525.629,97.439201,0.240658,2
A10,1526.129,95.756302,0.232117,2
A10,1526.629,93.359238,0.217503,2
A10,1527.129,90.273407,0.225104,2
A10,1527.629,86.506943,0.239799,2
A10,1528.129,83.491196,0.248648,2
A10,1528.629,81.683189,0.255631,2
A10,1529.129,80.336388,0.261581,2
A10,1529.629,79.212402,0.267202,2
A10,1530.129,78.285912,0.267111,2
A10,1530.629,77.54882,0.265196,2
A10,1531.129,77.908432,0.261191,2
A10,1531.629,79.654434,0.256519,2
A10,1532.129,82.109657,0.249492,2
A10,1532.629,85.057877,0.241714,2
A10,1533.129,88.541397,0.246168,2
A10,1533.629,92.573746,0.254527,2
A10,1534.129,92.706635,0.266182,2
A10,1534.629,87.519775,0.278889,2
A10,1535.129,80.937218,0.271267,2
A10,1535.629,74.211861,0.257154,2
A10,1536.129,69.055145,0.260213,2
A10,1536.629,66.01355,0.268755,2
A10,1537.129,65.364136,0.270532,2
A10,1537.629,67.195396,0.27015,2
A10,1538.129,70.25882,0.268907,2
A10,1538.629,74.155769,0.267388,2
A10,1539.129,78.571793,0.266528,2
A10,1539.629,83.406456,0.265879,0
A10,1540.129,86.22171,0.263502,0
A10,1540.629,86.239113,0.260574,0
A10,1541.129,84.986069,0.243469,0
