Gamma,Porosity,Fluvialfacies
69.491013,0.226844,0
65.886826,0.223971,0
75.46595,0.217869,0
85.361641,0.216773,0
81.184845,0.220882,0
76.67012,0.219981,0
71.184479,0.213826,0
65.675514,0.214946,0
68.222466,0.22364,2
70.962852,0.222147,2
83.904076,0.210041,2
97.090256,0.204523,2
95.68335,0.206005,2
93.92601,0.206345,2
94.956993,0.205348,2
96.054932,0.210326,2
84.329948,0.221457,2
72.29705,0.226922,2
72.663673,0.226439,2
73.328056,0.220464,2
70.249802,0.209006,2
67.08168,0.202939,2
82.472717,0.202522,2
98.309418,0.206912,2
88.999565,0.216089,2
79.085861,0.218025,2
84.866249,0.212433,2
91.023506,0.207715,2
94.937126,0.204073,2
98.796867,0.206784,2
89.150543,0.215974,2
79.179893,0.222312,2
75.621193,0.225574,2
72.216469,0.223687,2
79.64949,0.216601,2
87.342758,0.215356,2
82.307472,0.220217,2
76.966537,0.220552,2
81.592239,0.216105,2
86.457275,0.215404,2
78.041748,0.218651,2
69.30732,0.220418,2
74.026497,0.220576,2
79.068748,0.220505,2
79.468163,0.22024,2
79.756088,0.234205,2
74.463264,0.262747,2
69.036423,0.263026,1
75.05764,0.234015,1
81.35376,0.219322,1
80.426689,0.219993,1
79.326164,0.217616,1
85.499825,0.211749,1
91.84816,0.208483,1
92.471413,0.207964,1
92.957199,0.210174,1
87.752724,0.215115,1
82.411613,0.215923,1
86.028778,0.212433,1
89.861061,0.211521,1
87.975304,0.213352,1
85.952232,0.216891,1
80.422768,0.222111,3
74.809097,0.221918,3
80.834755,0.216141,3
87.1399,0.212746,3
88.07988,0.211926,3
88.891029,0.211256,3
89.509819,0.210678,3
90.123985,0.212556,3
85.50148,0.216947,3
80.753227,0.220556,3
77.797752,0.223305,3
74.885323,0.221329,0
82.015083,0.214535,0
89.386002,0.210318,0
91.015862,0.208856,0
92.507858,0.213066,0
82.028633,0.223019,0
71.26194,0.228516,0
70.295624,0.229312,3
69.564644,0.22587,3
77.642471,0.218201,3
85.931831,0.216082,3
82.167648,0.219745,3
78.114021,0.224724,3
70.465561,0.230912,3
62.730778,0.229762,3
72.866539,0.221071,3
83.431419,0.216997,3
82.690094,0.217831,3
81.677261,0.217048,1
84.361145,0.214491,1
87.133797,0.214642,1
84.037987,0.21761,1
80.801254,0.21973,1
79.512115,0.220916,1
78.269745,0.222621,1
75.872169,0.224881,1
73.446861,0.221699,1
82.662453,0.212934,1
92.15757,0.209359,1
90.295151,0.211231,1
88.159996,0.215054,1
82.135826,0.220742,1
76.018265,0.222912,1
77.501877,0.221436,1
79.168015,0.216189,1
88.702812,0.207167,1
98.426559,0.208214,1
86.469475,0.219661,1
73.991768,0.223272,1
78.759193,0.218612,1
83.940727,0.217889,1
80.29966,0.2214,1
76.446732,0.22476,1
73.129433,0.227862,1
69.825005,0.229011,1
70.677063,0.228166,1
71.628937,0.227827,1
71.40078,0.228054,1
71.144287,0.224984,1
77.954781,0.218523,1
84.934975,0.214473,1
86.59948,0.212973,1
88.13633,0.215325,1
81.578598,0.221561,1
74.826485,0.225035,1
74.162956,0.225589,1
73.64563,0.222167,1
81.466057,0.214746,1
89.486694,0.212884,1
85.441048,0.21681,1
81.105644,0.218362,1
82.128281,0.217342,1
83.279572,0.217083,1
82.682503,0.217663,1
82.043442,0.21184,1
95.112175,0.19944,1
108.51008,0.19546,1
86.589981,0.20026,1
63.821793,0.209008,1
67.098373,0.22159,1
71.000374,0.225537,1
76.508026,0.22055,1
82.054237,0.219724,1
78.272858,0.223372,1
74.267494,0.222433,1
80.276344,0.21669,1
86.525673,0.213578,1
86.918983,0.213276,1
87.171669,0.213429,1
86.589783,0.213984,1
85.987854,0.21307,1
88.540367,0.210643,1
91.168625,0.211042,1
87.689545,0.21437,1
84.063812,0.218052,1
79.828362,0.222029,1
75.578262,0.229444,1
69.936546,0.240375,1
64.261406,0.237999,1
75.293129,0.221912,1
86.726028,0.213286,1
87.48365,0.21263,1
87.984917,0.215632,1
81.076134,0.222188,1
73.98941,0.22365,1
77.955482,0.219809,1
82.186966,0.215878,1
86.347786,0.211979,1
90.506912,0.210397,1
89.726265,0.211185,1
88.826996,0.215346,1
80.843498,0.222906,1
72.68988,0.220969,1
84.978928,0.209224,1
97.758858,0.205077,1
93.830887,0.208946,1
89.501701,0.210968,1
79.231575,0.210906,1
68.818787,0.21315,1
73.946587,0.217806,1
79.447556,0.221543,1
76.747047,0.224282,1
73.849602,0.21694,1
70.046707,0.199299,1
66.222076,0.196472,1
75.005203,0.209063,1
84.091087,0.217661,1
80.100395,0.221798,1
75.795685,0.220783,1
82.269028,0.214597,1
