Gamma,Porosity,Fluvialfacies
91.579109,0.226827,1
89.416687,0.236276,1
87.31768,0.249494,1
85.720169,0.263914,1
84.082336,0.255434,1
82.231163,0.239642,1
80.330215,0.239361,3
78.431694,0.244032,3
76.790062,0.254742,3
75.486565,0.26738,3
75.809128,0.271121,3
78.168968,0.27202,3
81.460197,0.267621,3
85.32972,0.26153,3
87.628708,0.251212,3
87.671066,0.239544,3
88.407181,0.240895,3
90.779076,0.246402,3
94.245239,0.240998,1
98.632774,0.232109,1
102.90547,0.227347,1
106.73246,0.223902,1
109.2777,0.222631,1
110.27426,0.222055,1
109.98178,0.223173,1
108.48315,0.224832,1
105.65147,0.2356,1
101.44622,0.249276,1
97.148308,0.251636,1
93.166679,0.250383,1
89.476334,0.238634,1
86.06926,0.223534,1
83.157181,0.224763,1
80.807693,0.231207,1
80.283516,0.230862,1
81.987823,0.228349,1
86.038742,0.233629,1
92.473991,0.241398,1
94.059013,0.241812,1
88.48391,0.239877,1
83.401054,0.241712,1
81.253754,0.24475,1
83.004066,0.239839,1
88.959152,0.23239,1
91.617622,0.229911,1
88.584389,0.229018,1
84.583672,0.231577,1
81.123878,0.235237,1
79.110558,0.238246,1
78.832848,0.241046,1
78.010475,0.244336,1
75.91539,0.247782,3
73.772545,0.248127,3
71.973061,0.247482,3
71.062202,0.264243,3
71.214066,0.286562,3
71.354996,0.278651,3
71.142174,0.261089,3
71.044144,0.240923,3
71.210503,0.219925,3
72.07666,0.239649,3
73.781639,0.272376,3
76.6577,0.273445,3
80.810944,0.264406,3
85.114319,0.259236,3
89.20797,0.255303,1
91.840408,0.247414,1
92.61203,0.238262,1
91.772209,0.234478,1
89.400574,0.232407,1
86.769501,0.250959,1
84.285255,0.276096,1
84.164246,0.256376,1
87.114159,0.222335,1
87.864609,0.232887,1
84.732819,0.257677,1
80.002724,0.273417,1
74.403549,0.286269,1
73.13224,0.277023,1
77.848122,0.260723,1
81.369164,0.246179,1
81.402214,0.232195,1
79.241402,0.239546,1
75.299911,0.253708,1
73.18853,0.255739,1
74.060158,0.253897,1
