Gamma,Porosity,Fluvialfacies
85.427429,0.167,3
88.12159,0.166441,3
88.684662,0.166921,1
88.200562,0.168698,1
86.407845,0.169817,1
85.278732,0.170115,3
84.978897,0.169068,1
86.034393,0.166343,1
88.7836,0.163684,1
91.465584,0.161109,0
94.063553,0.160666,0
94.510628,0.162887,0
92.269836,0.166595,0
88.529427,0.17216,1
82.915016,0.176918,1
78.115128,0.180667,1
74.333115,0.182036,1
72.952721,0.180429,1
74.573517,0.177907,1
77.116966,0.174243,1
80.813416,0.171585,1
83.495049,0.170184,0
84.908508,0.170474,0
84.616638,0.172876,0
82.193703,0.175517,1
79.528931,0.178458,1
76.561951,0.18019,1
74.815025,0.18041,1
74.592758,0.17968,1
75.328857,0.177764,1
77.262581,0.175475,1
79.571175,0.172722,1
82.348244,0.170937,1
84.149734,0.17036,1
84.732094,0.171858,1
83.220413,0.17595,1
79.091896,0.181154,1
73.842171,0.187747,2
67.191315,0.194189,2
60.691856,0.200444,2
54.381592,0.203997,2
50.797974,0.204171,2
50.621727,0.202786,2
52.018528,0.199453,2
55.381096,0.196523,3
58.337292,0.194096,3
60.785664,0.192222,3
62.676586,0.191038,3
63.870884,0.190469,3
64.444206,0.19067,2
64.241531,0.190219,2
64.697388,0.188951,2
65.976196,0.188159,2
66.774948,0.187962,2
66.973808,0.187751,2
67.187431,0.187521,2
67.419487,0.186039,2
68.914413,0.182992,2
71.987488,0.179095,2
75.918533,0.174136,2
80.921753,0.169126,1
85.975426,0.164054,1
91.092155,0.160994,0
94.179932,0.160447,0
94.732224,0.161316,0
93.855446,0.163955,0
91.192818,0.167088,0
88.032021,0.170839,0
84.248688,0.174321,1
80.735802,0.177468,1
77.560875,0.179898,1
75.108788,0.181433,1
73.55999,0.182564,1
72.419594,0.183188,0
71.789551,0.183289,0
71.688095,0.182735,0
72.2472,0.182408,0
72.576538,0.182366,0
72.618744,0.182428,0
72.556923,0.182618,0
72.365097,0.182104,1
72.884193,0.180708,1
74.291695,0.178464,1
76.555946,0.175158,1
79.890831,0.171559,1
83.522041,0.167592,1
87.523552,0.164983,1
90.15609,0.164069,1
91.077866,0.16467,1
90.471451,0.167164,1
87.955322,0.170378,1
84.712914,0.174492,0
80.562881,0.178175,1
76.847687,0.181319,1
73.67588,0.184106,1
70.864021,0.186447,0
68.501968,0.18812,0
66.814369,0.188958,1
65.969604,0.189197,1
65.728569,0.188688,1
66.241989,0.186683,1
68.264748,0.182808,1
72.173668,0.179361,1
75.65062,0.17645,1
78.587769,0.174886,1
80.165802,0.175005,1
80.04541,0.17647,1
78.567451,0.179616,0
75.393013,0.182049,0
72.938904,0.183589,0
71.384956,0.18376,0
71.212975,0.182218,1
72.767982,0.179998,1
75.007866,0.17693,1
78.1036,0.174508,1
80.546776,0.172894,1
82.174477,0.173001,1
82.067345,0.175256,1
79.792274,0.178228,3
76.793915,0.182096,3
72.89167,0.185528,2
69.429245,0.188415,2
66.516449,0.189068,2
65.858032,0.186928,2
68.016823,0.184857,2
70.106354,0.182872,2
72.109329,0.181088,2
73.909042,0.179555,1
75.45475,0.178823,1
76.193619,0.17909,1
75.92421,0.178862,1
76.154198,0.178015,1
77.008278,0.17742,1
77.608665,0.177139,1
77.892014,0.176723,1
78.311356,0.176139,1
78.90062,0.174595,1
80.458977,0.17185,1
83.228371,0.168008,1
87.104378,0.162795,1
92.363281,0.158154,1
97.045158,0.154228,1
101.00595,0.151645,1
103.61188,0.15074,1
104.5247,0.112179,0
103.06665,0.066568,0
98.645805,0.071507,0
93.662445,0.077144,1
87.976112,0.082804,1
82.266357,0.088492,1
76.527321,0.092215,1
72.771835,0.09348,1
71.49511,0.093434,1
71.541969,0.091748,1
73.242867,0.09007,1
74.935127,0.088404,1
76.616592,0.087593,1
77.434616,0.087851,1
77.173653,0.089088,2
75.926193,0.091546,2
73.445969,0.093248,2
71.729012,0.094005,2
70.965874,0.094771,2
70.193398,0.095548,2
69.409256,0.096581,1
68.367622,0.097932,1
67.004204,0.100725,1
64.187195,0.105318,1
59.553684,0.108974,3
55.865108,0.111459,3
53.357372,0.11339,2
51.40955,0.114627,2
50.161423,0.114488,2
50.301105,0.112631,2
52.175076,0.112095,2
