Gamma,Porosity,Fluvialfacies
97.527412,0.207619,1
97.663956,0.207619,1
97.527039,0.207927,1
97.071198,0.208441,1
96.535744,0.209043,1
95.90744,0.209292,0
96.055588,0.208669,1
97.109238,0.207507,1
98.298462,0.206193,1
99.64579,0.205651,1
99.344467,0.206959,1
97.120476,0.209355,1
94.719872,0.211949,1
92.113319,0.214403,1
89.982742,0.216323,1
88.407249,0.217267,1
88.160583,0.21672,1
89.463593,0.215872,1
89.797241,0.216112,1
89.000404,0.217718,1
86.696655,0.221016,1
82.635551,0.224927,1
79.147987,0.229379,1
76.329285,0.228474,1
74.521294,0.221668,1
73.891991,0.223062,1
75.014023,0.227724,1
78.178452,0.226552,1
80.468735,0.224707,2
81.739601,0.22334,1
83.105713,0.221867,1
84.582893,0.22047,2
85.804008,0.219359,1
86.726486,0.218539,1
87.387001,0.218013,1
87.74202,0.21806,1
87.295258,0.219008,1
85.913445,0.220799,1
83.837891,0.223369,1
80.953293,0.225474,1
79.773415,0.225667,1
80.581558,0.224254,1
82.50116,0.221593,1
85.716927,0.218573,1
88.331261,0.216227,1
90.244194,0.212992,1
90.120903,0.209349,1
87.622978,0.209543,1
84.551491,0.213072,1
80.811096,0.216038,1
78.827606,0.217032,1
78.892998,0.216819,1
79.237701,0.216294,1
79.90815,0.215603,3
80.569839,0.214923,1
81.221298,0.214701,1
80.999245,0.215459,1
79.758499,0.216391,1
79.19825,0.21656,1
79.431602,0.216326,1
79.64949,0.21611,1
79.849365,0.215948,1
79.963364,0.215882,1
79.977211,0.215787,1
80.143829,0.215523,1
80.488594,0.214782,1
81.574707,0.213209,1
83.52536,0.210923,1
85.987694,0.208062,1
89.046745,0.204986,1
91.92588,0.202111,1
94.595192,0.199845,1
96.299316,0.198663,1
96.877831,0.198571,1
96.477303,0.199577,1
94.935013,0.20161,1
92.552612,0.204586,1
89.190498,0.207862,1
86.228745,0.210689,1
83.733894,0.212747,1
82.256035,0.213664,2
81.964172,0.213698,2
82.190269,0.213151,1
83.020439,0.212288,1
83.857155,0.211417,2
84.701508,0.210696,2
85.247467,0.210311,1
85.445435,0.20928,1
87.23568,0.206464,1
90.882851,0.203159,1
93.61367,0.200884,2
95.275864,0.199346,1
96.58345,0.198205,1
97.477501,0.198104,1
96.778259,0.199791,1
94.220932,0.202277,1
91.980782,0.204406,1
90.110527,0.206634,1
87.681007,0.209489,1
84.599258,0.212773,1
81.341393,0.216255,2
77.878143,0.224431,1
75.50576,0.241302,1
74.405548,0.24512,1
74.311386,0.222919,2
75.39048,0.20829,3
77.346558,0.212352,1
80.325386,0.214266,1
82.734001,0.212114,2
84.477631,0.210334,1
86.169357,0.208613,1
87.800552,0.207187,1
88.922386,0.206332,1
89.450203,0.205785,1
89.977997,0.205239,1
90.50576,0.204953,1
90.530441,0.205231,1
89.968437,0.206162,1
88.733269,0.207849,0
86.713074,0.210021,1
84.541252,0.212363,1
82.192627,0.214788,1
79.858322,0.217197,3
77.540726,0.219087,1
76.211571,0.219619,1
76.035149,0.215625,3
75.951607,0.215851,1
75.976387,0.224958,1
76.299347,0.224497,1
76.970032,0.218684,1
77.560486,0.21812,1
78.057381,0.217466,1
78.823967,0.216509,1
79.905067,0.214988,1
81.76046,0.212598,1
84.518822,0.209998,1
86.778748,0.207957,1
88.457397,0.206426,1
89.732368,0.205349,1
90.536568,0.205748,1
88.964577,0.208812,2
84.62149,0.213316,2
80.270683,0.216245,1
75.910889,0.221294,2
72.002136,0.231713,1
68.619392,0.237394,1
68.101646,0.230085,2
70.925064,0.218154,1
74.753922,0.214635,2
79.755325,0.213835,1
84.136238,0.20967,2
87.793549,0.206383,1
90.481552,0.204183,1
92.039154,0.202949,1
92.863022,0.202539,1
