Gamma,Porosity,Fluvialfacies
65.398468,0.212594,2
63.724239,0.215923,2
60.516582,0.22236,2
56.173977,0.231563,2
52.384277,0.24328,2
49.003807,0.247451,2
47.606663,0.236632,2
47.677456,0.225,2
48.955952,0.223051,2
51.128311,0.223577,2
53.97337,0.221244,2
57.316315,0.216948,2
62.571495,0.211353,2
69.241982,0.204442,1
77.56974,0.196201,1
87.1241,0.188024,1
95.313759,0.180942,1
102.49335,0.176468,1
105.02096,0.175725,1
104.10549,0.178199,1
99.653641,0.183508,1
92.584389,0.190397,1
84.70594,0.197933,2
76.228569,0.204975,2
69.426201,0.210673,2
63.863564,0.214391,2
61.35828,0.215657,2
61.115852,0.214549,2
63.764301,0.211122,2
68.552391,0.206958,2
72.799011,0.203229,2
76.644875,0.200813,2
78.042641,0.200359,2
77.628487,0.201574,1
75.406754,0.204238,1
71.847168,0.206253,1
71.034348,0.206065,1
72.254517,0.203836,1
75.871017,0.199686,1
81.261131,0.194388,1
87.367805,0.188516,1
94.004837,0.183239,1
98.81929,0.179423,1
102.28479,0.177505,3
102.98107,0.177808,3
101.62775,0.179787,1
98.6838,0.183043,1
94.562553,0.187783,1
88.399254,0.19416,1
80.724556,0.201039,1
73.471207,0.20758,2
66.529709,0.215208,2
61.206089,0.224977,2
57.07991,0.230155,2
56.316429,0.22576,2
58.041794,0.218398,2
61.656303,0.21296,2
66.669037,0.208749,2
70.793938,0.20525,1
74.261719,0.203007,1
75.663002,0.202421,3
75.53479,0.203188,3
73.997452,0.205086,3
71.417183,0.207132,3
69.557388,0.2086,1
68.230843,0.20962,1
67.342918,0.210289,2
66.77964,0.210623,2
66.616295,0.210638,2
66.748947,0.210088,2
67.809746,0.208793,2
69.557503,0.206306,2
73.209129,0.202291,2
78.269875,0.197577,2
83.439461,0.192775,2
88.68959,0.189418,2
90.722672,0.188642,2
90.374695,0.190007,2
87.760414,0.193189,2
83.468758,0.196417,2
80.755692,0.198379,2
79.210991,0.198822,2
79.795555,0.197557,2
81.95607,0.195432,2
84.406204,0.193075,1
87.070702,0.19203,1
86.673637,0.19344,1
84.010605,0.196481,1
80.074532,0.200543,1
75.196236,0.205246,1
69.871078,0.210306,2
64.215179,0.214682,2
60.374462,0.217603,2
57.877235,0.218555,2
58.307259,0.217161,2
60.903839,0.188516,2
64.351112,0.140048,2
68.428009,0.117057,2
72.707672,0.113044,1
77.137421,0.110259,0
78.750847,0.109732,1
78.279816,0.110002,0
78.165764,0.109985,1
78.315926,0.110086,0
77.947807,0.110602,1
77.196091,0.110879,0
77.346405,0.110433,0
78.164337,0.110275,1
77.689445,0.111153,1
76.257683,0.112966,0
73.756516,0.115636,0
70.463837,0.118834,1
66.816437,0.122317,1
62.906498,0.125107,1
60.761906,0.126481,1
59.923904,0.12604,1
61.718563,0.123488,1
65.461739,0.119181,1
71.065651,0.113381,1
78.046761,0.107218,1
84.439774,0.101527,0
90.397507,0.097028,0
94.201462,0.094257,0
96.411316,0.093202,0
96.490814,0.093855,0
94.993561,0.095727,0
92.427139,0.098458,0
89.069389,0.101255,0
86.356392,0.103536,0
84.120613,0.104824,3
83.562393,0.104766,0
84.245796,0.103755,0
85.756897,0.102079,0
87.8806,0.100485,0
89.216934,0.099521,0
