Gamma,Porosity,Fluvialfacies
94.712975,0.203063,1
90.775429,0.207094,1
85.933968,0.211581,1
84.302757,0.209964,1
87.5411,0.205884,1
88.646149,0.20802,1
84.793549,0.212663,1
85.957245,0.205972,1
96.159859,0.194711,1
101.85,0.195961,1
97.562172,0.202256,1
89.419762,0.210287,1
79.892426,0.219019,1
78.698097,0.212388,1
89.756157,0.199562,1
96.411385,0.200679,1
91.94648,0.207418,1
87.692909,0.208162,1
88.22084,0.206489,1
89.667664,0.205617,1
90.47554,0.205068,1
90.235497,0.206039,1
88.782578,0.207624,1
86.362625,0.210297,1
83.074783,0.213409,1
80.213547,0.215331,1
78.300987,0.216774,1
79.48716,0.213245,1
84.639198,0.20771,1
86.208473,0.210484,1
81.150513,0.216609,1
77.984695,0.216053,1
80.147026,0.212804,1
82.045708,0.212713,1
81.425491,0.213895,1
80.827705,0.213764,1
81.277328,0.213104,1
83.26561,0.210266,1
86.990669,0.20655,1
88.075233,0.208358,1
84.753845,0.212394,1
80.947685,0.215055,1
78.238235,0.217161,1
82.435036,0.207671,1
95.881157,0.193504,1
102.72421,0.195631,1
96.570641,0.20433,1
89.93998,0.207297,1
87.881554,0.207952,1
85.082199,0.212222,1
79.399048,0.217951,1
76.443123,0.217423,1
78.47744,0.214372,1
82.273865,0.210744,1
86.530441,0.206883,1
85.997383,0.211682,1
78.55735,0.219973,1
77.515083,0.213516,1
88.236603,0.20111,1
95.652245,0.200468,1
93.684174,0.204572,1
89.781731,0.207334,1
86.94931,0.209556,1
84.677032,0.211332,1
82.759232,0.21293,1
79.283836,0.217447,1
73.479675,0.223141,1
70.752731,0.222244,1
73.28331,0.218689,1
75.117661,0.219017,1
73.854568,0.220912,1
71.993347,0.222292,1
70.542015,0.223465,1
71.782982,0.220108,1
76.63678,0.214925,1
80.979195,0.212468,1
83.146873,0.211111,1
83.518883,0.211814,1
82.2481,0.213347,1
84.108849,0.20854,1
91.026672,0.201176,1
93.690331,0.203853,1
88.344475,0.210581,1
87.365822,0.205575,1
95.746101,0.195837,1
101.24498,0.195901,1
98.925743,0.199918,1
95.565147,0.201813,1
93.896378,0.202853,1
92.608139,0.204079,1
91.171555,0.205381,1
89.948273,0.206232,1
89.084106,0.206902,1
88.197182,0.207793,1
87.133469,0.208773,1
85.028267,0.211497,1
81.532822,0.214923,1
82.44017,0.2099,1
90.086723,0.201469,1
92.598465,0.20548,2
85.186424,0.21451,2
75.750084,0.22305,2
67.475433,0.231392,2
66.608612,0.225355,2
75.668785,0.213518,2
84.993362,0.207203,2
90.685272,0.203114,2
93.571106,0.202125,2
93.984222,0.202387,2
92.086121,0.205465,2
