Gamma,Porosity,Fluvialfacies
90.834442,0.217378,3
89.847061,0.218654,3
88.2006,0.221529,3
83.910896,0.225942,3
79.095863,0.228162,3
79.330093,0.227449,3
80.567856,0.225844,3
82.641869,0.223753,3
84.882095,0.223672,3
82.811928,0.226093,3
79.885078,0.225843,3
83.326515,0.221894,3
88.03363,0.218594,3
90.137543,0.212635,3
91.724075,0.206806,2
91.847832,0.205998,2
91.680878,0.20746,2
88.82782,0.210485,2
85.440903,0.213291,2
83.036568,0.215527,2
80.827515,0.215344,2
83.413857,0.212376,2
86.95327,0.209168,2
90.034973,0.206225,2
93.025703,0.202431,0
97.865959,0.197561,0
103.07381,0.193373,0
106.50883,0.190214,0
109.59151,0.187844,0
111.39964,0.186215,0
112.95446,0.186025,0
111.79175,0.187413,0
110.08894,0.188206,0
110.1547,0.187972,0
110.57197,0.188098,0
109.89489,0.18886,0
109.00031,0.189974,0
107.59676,0.191383,0
106.09204,0.19277,0
104.73539,0.19407,0
103.40815,0.194372,0
104.11271,0.193493,0
105.22108,0.193095,0
104.9339,0.193508,0
104.36936,0.192771,0
106.45295,0.190497,0
109.06285,0.189046,0
109.44737,0.188888,0
109.3896,0.189543,0
108.09687,0.190915,0
106.55868,0.192023,0
105.80927,0.192673,0
105.21663,0.191811,0
107.58693,0.189229,0
110.54611,0.18791,0
110.31052,0.188446,0
109.43999,0.188774,0
109.63269,0.188485,0
110.03671,0.189357,0
107.83272,0.191744,0
105.11037,0.192033,0
107.23819,0.189504,0
110.32998,0.188564,0
109.17753,0.190089,0
107.18153,0.191656,0
105.94345,0.192783,0
104.85602,0.193529,0
104.40246,0.193908,0
104.07489,0.194292,0
103.61042,0.194755,0
103.11876,0.193049,0
107.13094,0.188727,0
112.03827,0.18647,0
111.789,0.187208,0
110.51489,0.187903,0
110.35383,0.187952,0
110.414,0.188196,0
109.84998,0.188802,0
109.16191,0.190494,0
106.36149,0.193412,0
103.14124,0.194676,0
103.75249,0.193715,0
105.12525,0.190891,0
109.57754,0.18628,0
114.64186,0.184561,0
113.12579,0.186664,0
110.30187,0.187629,0
111.13348,0.186471,0
112.69161,0.185481,0
113.17712,0.185114,0
113.44945,0.184613,0
114.21053,0.183828,0
115.06873,0.193123,0
95.028893,0.226499,1
70.835625,0.233869,3
72.232208,0.216907,3
78.714714,0.214221,3
85.364159,0.208963,3
92.046783,0.210208,3
82.794006,0.224704,3
70.374107,0.227962,3
75.624336,0.216976,3
84.386459,0.210469,2
75.333229,0.227366,2
62.739254,0.224087,2
63.587502,0.194549,2
67.107353,0.214341,2
71.753586,0.23322,2
76.623688,0.221746,2
79.100136,0.217302,2
81.100861,0.217806,2
78.059135,0.213475,2
74.015236,0.205627,2
76.454109,0.208998,2
80.181427,0.215508,2
80.816841,0.216597,2
80.837746,0.217579,2
78.791245,0.219458,2
76.333862,0.23535,2
71.080215,0.241986,2
65.270821,0.237095,2
66.112068,0.22594,2
68.275108,0.218289,2
67.716026,0.235935,2
66.615929,0.23756,2
69.620003,0.226962,2
73.439774,0.230429,2
74.436996,0.230097,2
74.873245,0.215617,2
76.873199,0.210959,2
79.183937,0.238345,2
74.552963,0.247609,2
68.542343,0.238936,2
71.920372,0.233935,2
77.164368,0.223981,2
76.214523,0.232723,2
74.033653,0.238342,2
74.558769,0.22579,2
75.621696,0.223589,2
72.855476,0.220846,2
69.328232,0.229177,2
72.275429,0.234367,2
76.509399,0.213535,2
76.868294,0.205476,2
76.457031,0.210537,2
78.800552,0.215867,2
81.691574,0.213152,2
77.540619,0.224384,2
71.990097,0.216174,2
75.313271,0.20251,2
80.40007,0.212871,2
82.633148,0.21404,2
84.299049,0.215425,2
79.776749,0.210782,2
74.024559,0.208811,2
79.898048,0.21162,2
88.082123,0.211602,2
83.882828,0.216716,2
77.222366,0.219708,2
77.646149,0.218764,2
79.477905,0.216674,2
82.018768,0.214144,2
84.700562,0.214458,2
81.370918,0.225474,2
76.846504,0.190363,0
79.317131,0.135084,0
83.178009,0.124879,0
82.023766,0.12648,0
79.872787,0.128254,0
