Gamma,Porosity,Fluvialfacies
72.0816,0.195063,1
73.5151,0.191853,1
78.626,0.189906,0
76.9714,0.191834,3
73.5112,0.195021,2
69.2209,0.198765,2
64.7089,0.197876,2
70.9416,0.190966,2
80.0418,0.186565,0
81.1347,0.186947,0
80.0905,0.190462,1
73.7191,0.196671,0
65.9259,0.197419,2
71.3857,0.190529,2
80.3826,0.185025,2
83.2965,0.183315,0
84.5867,0.182496,0
85.2617,0.181793,0
85.7725,0.182028,0
84.6954,0.18342,0
83.1945,0.182172,0
87.5017,0.17727,1
93.3592,0.172705,1
97.2855,0.169543,0
100.696,0.173033,0
90.7576,0.184578,3
77.2558,0.190115,1
79.3603,0.185889,1
85.63,0.183024,1
84.7747,0.184487,0
82.0178,0.190152,0
73.1328,0.199985,2
62.6122,0.203727,2
65.9183,0.198637,1
72.9145,0.191583,3
80.2235,0.184396,3
87.6159,0.184375,2
80.732,0.193466,2
70.0378,0.197401,2
72.8329,0.192371,2
79.228,0.189714,2
77.1128,0.192456,0
72.7263,0.194376,1
73.2636,0.193816,1
75.1152,0.187663,1
86.8042,0.175086,0
101.119,0.173081,0
90.4764,0.186183,0
73.1733,0.196048,2
69.5353,0.197779,2
69.5445,0.19585,2
73.1905,0.191455,2
77.8071,0.18938,0
76.7954,0.190902,0
74.2815,0.193832,0
71.0072,0.197588,2
67.5299,0.198491,2
69.7239,0.19556,2
73.4316,0.193128,2
74.6816,0.192349,1
75.2758,0.191481,2
77.2185,0.190061,1
79.521,0.186437,1
85.2755,0.180168,0
91.9513,0.177802,3
89.2276,0.181086,3
83.9953,0.187571,0
75.1651,0.196604,2
65.3746,0.200001,2
68.3866,0.19558,1
74.8156,0.18928,0
81.9506,0.182686,0
89.2739,0.18272,2
82.1725,0.191227,2
71.2212,0.197769,2
67.5905,0.19956,3
65.9136,0.19903,3
67.9953,0.196827,3
71.0802,0.193183,0
76.7981,0.188159,0
83.2187,0.189951,0
74.1989,0.200744,2
61.0582,0.206027,2
62.864,0.201926,1
68.6588,0.196738,1
72.979,0.192676,0
76.9055,0.1911,0
76.5356,0.192374,3
75.0189,0.192158,3
77.3789,0.189294,1
80.7735,0.188589,1
78.2154,0.191329,0
74.0686,0.193286,2
73.7652,0.193336,0
74.4875,0.192901,0
75.0091,0.192361,1
75.4772,0.196758,1
65.1061,0.207435,1
51.8421,0.210503,2
57.8457,0.202254,2
68.9917,0.196211,2
71.1599,0.195984,1
70.9321,0.196026,1
72.3325,0.194857,0
74.1674,0.196219,2
69.5194,0.20111,2
63.1412,0.198912,3
73.643,0.186791,2
88.6499,0.180828,2
86.6736,0.185312,2
80.1646,0.186939,2
83.7809,0.182157,0
90.0994,0.181206,0
84.976,0.186817,1
76.7988,0.192416,2
71.7366,0.196251,2
67.5058,0.195709,2
72.7269,0.190092,2
80.4707,0.183235,2
88.4114,0.176164,2
96.4047,0.175784,0
89.7501,0.183938,1
79.1861,0.189511,1
77.601,0.189536,1
78.4123,0.189279,1
77.7474,0.190145,0
76.6886,0.19279,0
72.5336,0.19739,2
67.5523,0.201768,2
63.5854,0.205345,2
59.8892,0.203509,2
66.9352,0.19503,2
76.8481,0.189606,0
77.879,0.189826,0
76.5392,0.192414,0
73.1383,0.196497,0
69.1873,0.197562,0
70.6865,0.194403,0
73.6403,0.197512,0
62.413,0.20969,2
47.4008,0.218877,2
42.8867,0.221855,2
41.1744,0.221893,2
42.8662,0.219861,2
45.4664,0.218889,2
44.8576,0.219811,2
43.3922,0.221564,2
41.3813,0.223867,2
39.2247,0.22215,2
45.7213,0.215198,2
54.5272,0.205964,2
65.8641,0.195236,2
77.8764,0.188503,1
80.5142,0.187229,1
80.6499,0.186071,1
82.6827,0.183606,1
85.2219,0.183705,1
82.2816,0.187402,1
77.8789,0.189887,1
77.5233,0.189877,1
78.248,0.187893,1
81.6429,0.184077,3
85.7504,0.185115,3
79.1424,0.192791,3
69.6746,0.198528,2
67.1805,0.200037,2
66.5477,0.196308,2
75.2256,0.187072,1
86.3884,0.182409,1
85.3227,0.185007,1
80.9933,0.18949,2
75.735,0.194423,2
70.2288,0.196339,1
71.2928,0.194313,1
74.1102,0.193472,1
73.0395,0.195183,1
70.931,0.193267,2
77.4532,0.186074,2
86.2788,0.183071,1
83.8089,0.186783,1
78.3243,0.190424,1
76.0377,0.192182,2
74.6045,0.189915,2
80.7166,0.183054,2
88.8425,0.179939,1
86.9709,0.182796,1
82.431,0.184836,1
82.567,0.184247,2
83.9511,0.184376,2
82.9313,0.186118,2
81.2699,0.184183,2
87.7223,0.17716,2
96.3401,0.172152,3
98.58,0.171056,2
99.1177,0.170121,2
100.748,0.168349,2
102.669,0.168635,2
100.01,0.171751,2
96.1285,0.168218,2
99.1553,0.159452,3
104.026,0.15729,3
101.727,0.160664,1
97.5152,0.161632,2
99.9,0.158355,2
104.045,0.156955,2
102.474,0.159065,3
99.3778,0.159608,3
101.219,0.157227,3
104.379,0.156372,1
103.233,0.158231,1
100.939,0.160479,1
98.5867,0.162494,2
96.2195,0.163925,2
95.2543,0.164677,2
94.6634,0.163928,2
96.8839,0.161457,3
99.8547,0.15946,3
100.994,0.158522,3
101.644,0.158481,2
100.973,0.159291,2
99.9497,0.160073,2
99.4798,0.160591,2
99.1576,0.158953,2
102.718,0.154655,1
107.316,0.158615,3
93.6537,0.173744,3
75.1186,0.186234,2
67.2236,0.192399,2
62.1684,0.194769,2
61.661,0.194018,2
62.3674,0.193191,2
62.629,0.193102,2
62.772,0.191315,2
66.7988,0.187182,2
71.8623,0.186906,2
67.5293,0.192146,2
60.6885,0.195123,2
61.36,0.193759,2
64.0364,0.191658,2
65.9279,0.189779,2
67.61,0.190794,2
63.5093,0.195416,2
57.8652,0.196541,2
61.2286,0.192272,2
66.9959,0.188364,2
69.4977,0.186354,2
71.1278,0.186621,2
68.9022,0.189268,2
65.6475,0.190676,2
66.0115,0.189881,2
67.3411,0.190839,2
63.6282,0.194605,2
58.5694,0.194195,2
63.879,0.187745,2
71.9558,0.182426,2
75.2467,0.180152,1
77.2603,0.183418,1
68.9001,0.192887,2
57.7713,0.195805,2
62.6578,0.188767,2
71.8187,0.185241,0
69.802,0.188822,2
64.8021,0.189221,2
69.3286,0.183691,2
76.3975,0.182532,3
71.5617,0.188494,1
63.5487,0.191988,1
64.0991,0.190454,2
66.9351,0.186523,2
72.7342,0.180898,2
79.3241,0.181487,2
71.7621,0.190401,2
60.423,0.193003,2
65.864,0.185387,2
75.7836,0.185038,2
66.4422,0.196625,2
51.9603,0.202191,2
54.9454,0.196941,2
62.5923,0.190269,2
68.5137,0.184682,2
73.9745,0.184394,2
69.0029,0.190534,2
61.247,0.196948,2
55.3434,0.201995,2
49.9341,0.201394,2
56.1228,0.194,2
65.4068,0.189999,3
65.1576,0.19211,3
62.3641,0.1927,1
64.7878,0.189731,1
68.604,0.186658,1
70.7434,0.184405,2
72.4352,0.186407,2
65.9723,0.193583,2
57.333,0.195611,2
62.1807,0.189735,2
70.6279,0.185435,2
71.7222,0.185239,1
70.8541,0.186542,3
68.9802,0.188646,2
66.8378,0.191305,2
63.9316,0.194452,2
60.8215,0.194402,2
64.4687,0.19017,2
69.9194,0.18797,2
69.1778,0.189461,2
66.7834,0.192368,2
62.6221,0.196084,2
57.9892,0.197348,2
59.0125,0.195288,2
61.5454,0.191451,2
66.9399,0.18625,2
73.0982,0.182396,3
75.6536,0.180615,3
77.2474,0.182203,2
72.6858,0.187507,2
66.4813,0.194499,2
58.1884,0.202637,2
49.3381,0.204067,2
54.7938,0.196693,2
64.0676,0.191731,2
64.3383,0.192174,2
62.2062,0.191102,2
66.2016,0.186667,2
71.8324,0.183315,2
74.1257,0.182231,2
75.5282,0.181526,2
76.3383,0.180696,2
76.9903,0.182577,1
71.7083,0.187924,1
64.8425,0.19215,3
62.2405,0.194028,1
60.7764,0.197361,2
55.3172,0.203161,2
48.7918,0.204363,2
53.2363,0.199082,2
60.6087,0.193746,2
64.9024,0.19007,2
68.3745,0.187704,3
69.4648,0.186553,2
69.9194,0.18786,2
66.2815,0.191956,1
61.5515,0.193254,2
63.4303,0.190264,3
67.073,0.188918,2
65.8246,0.1908,2
63.2708,0.193426,2
60.7746,0.196131,2
58.2938,0.197812,2
57.6772,0.198175,2
57.5581,0.196248,2
61.4599,0.191773,2
66.4348,0.187388,2
70.2602,0.183801,2
73.7789,0.183406,2
70.9875,0.186842,2
66.5119,0.190181,2
63.9701,0.192373,1
61.9444,0.19394,2
61.164,0.19502,2
60.7159,0.195468,2
61.0143,0.195245,2
61.512,0.192428,2
67.6906,0.186502,2
75.3854,0.173383,2
96.7528,0.161857,0
121.769,0.141856,0
124.416,0.129762,0
121.092,0.135154,0
123.287,0.12698,0
126.955,0.132683,0
128.737,0.150548,0
130.015,0.148562,0
127.666,0.135544,0
124.348,0.133881,0
121.651,0.141023,0
119.12,0.14281,0
120.759,0.143464,0
123.51,0.124781,0
127.654,0.116889,0
132.171,0.136579,0
128.386,0.143115,0
122.385,0.142392,0
123.166,0.163825,0
125.757,0.168884,0
122.627,0.148746,0
117.97,0.14472,0
118.032,0.143941,0
119.354,0.135526,0
122.239,0.133052,0
125.541,0.139436,0
123.17,0.141817,0
119.286,0.161173,0
121.337,0.171257,0
124.972,0.154179,0
120.484,0.146104,0
113.828,0.145665,0
116.816,0.142915,0
122.377,0.129325,0
124.673,0.119675,0
126.096,0.120158,0
127.297,0.122989,0
128.438,0.128137,0
132.971,0.114641,0
138.41,0.107213,0
134.226,0.129608,0
127.474,0.152922,0
124.506,0.15265,0
122.548,0.139484,0
122.868,0.135895,0
123.795,0.139483,0
121.706,0.142243,0
118.813,0.142336,0
121.256,0.127913,0
125.123,0.105206,0
126.389,0.116325,0
126.961,0.121522,0
132.103,0.101973,0
138.466,0.109758,0
135.251,0.118251,0
129.48,0.123307,0
128.575,0.135576,0
128.968,0.124183,0
126.846,0.14035,0
124.052,0.158571,0
127.616,0.123865,0
132.878,0.115164,0
128.903,0.134087,0
122.462,0.129822,0
122.447,0.084686,0
124.146,0.061096,0
123.443,0.064971,0
122.099,0.059865,0
123.031,0.0705,0
124.571,0.06846,0
121.908,0.056128,0
118.125,0.054166,0
118.065,0.053666,0
119,0.05323,0
119.233,0.053453,0
119.278,0.052795,0
