Gamma,Porosity,Fluvialfacies
68.755798,0.224953,1
66.499458,0.212537,1
64.866669,0.213846,1
65.701607,0.226923,1
67.385284,0.226207,1
72.427849,0.221279,1
77.614571,0.216008,1
83.371819,0.210955,1
88.102905,0.208353,0
88.772903,0.208135,0
88.555359,0.210037,1
84.825302,0.213685,0
80.98185,0.217604,0
76.689659,0.221322,0
73.264656,0.222969,1
73.271568,0.222548,1
74.13858,0.220073,0
78.409454,0.216078,1
82.429749,0.212682,0
85.458366,0.210207,0
87.567657,0.209928,0
86.038696,0.211765,0
83.75412,0.215406,1
78.479248,0.220267,1
73.664612,0.224029,1
70.671333,0.226312,1
68.92524,0.225616,1
72.114876,0.222451,0
75.494102,0.218834,0
79.62368,0.215089,0
83.268509,0.212502,0
84.994896,0.211209,0
85.951874,0.211754,0
83.863899,0.2139,0
81.498108,0.216709,1
78.032845,0.220006,1
74.652138,0.223102,1
71.606087,0.225917,0
68.808105,0.229665,0
66.991852,0.237023,0
66.06012,0.23471,0
68.628906,0.226154,0
71.294113,0.223403,0
74.340889,0.220781,0
76.737015,0.219712,0
76.558182,0.220236,0
75.650162,0.2225,2
71.856361,0.227177,2
67.913528,0.23862,2
63.380875,0.255936,2
59.413586,0.249792,2
57.68372,0.234118,2
56.092567,0.243926,2
55.050365,0.25139,2
54.295715,0.250408,2
54.679031,0.233444,2
55.264954,0.225616,2
56.652672,0.237943,2
58.095783,0.231428,2
59.758121,0.242118,2
61.777462,0.255581,2
65.209663,0.239239,2
68.39933,0.226585,2
70.629173,0.224489,2
72.750404,0.222653,2
74.441795,0.221384,2
75.383957,0.221904,2
73.361,0.223837,3
71.370842,0.225692,3
69.510468,0.227202,0
68.235641,0.227314,1
69.278152,0.226001,1
70.962524,0.223155,1
75.187035,0.219114,1
79.349815,0.215221,1
83.268311,0.211789,1
86.474731,0.210058,1
86.863129,0.209838,1
86.928215,0.210392,1
85.713814,0.211505,0
84.617928,0.212335,0
83.991035,0.212868,0
83.511192,0.21305,0
83.613327,0.21296,3
83.699295,0.212908,3
83.721321,0.212947,0
83.618919,0.213283,0
83.024132,0.213846,0
82.449654,0.21436,0
81.955521,0.214901,3
81.326439,0.215765,3
80.163307,0.216879,2
79.014389,0.217959,2
77.92173,0.218924,2
77.010269,0.219457,2
76.81591,0.219569,2
76.777962,0.219307,2
77.358986,0.218943,2
77.533302,0.21955,2
76.098061,0.22108,2
74.359596,0.223332,2
71.421112,0.225979,2
68.865349,0.227712,2
67.824242,0.228259,2
67.730453,0.226544,2
71.385651,0.222837,2
75.424507,0.218214,1
80.981712,0.213203,1
85.826012,0.209895,1
87.848969,0.208329,1
89.076019,0.208665,1
87.153275,0.210739,0
84.769814,0.213914,0
80.56308,0.21794,0
76.411011,0.221836,3
72.475258,0.22551,3
68.784149,0.227927,3
66.061195,0.226097,2
64.176369,0.2215,2
65.608444,0.223855,2
67.693451,0.22609,2
72.362404,0.221507,2
77.207436,0.216504,1
82.749275,0.211528,1
87.536102,0.208355,1
89.334953,0.206853,1
90.653481,0.206499,3
90.071083,0.207007,3
89.598457,0.207252,2
89.560226,0.207251,2
89.602196,0.207058,2
89.961571,0.206792,2
90.155472,0.206921,2
89.694511,0.207802,2
88.326485,0.210849,2
83.368752,0.215501,2
78.670258,0.219534,2
74.997696,0.22272,2
72.055176,0.224163,2
72.001778,0.223689,2
73.037827,0.220614,2
78.385368,0.215635,2
83.37471,0.21151,1
86.946457,0.208343,1
89.951004,0.206529,1
90.710815,0.20524,1
90.532967,0.202199,0
86.644371,0.201786,1
83.1054,0.20453,1
80.950073,0.206365,1
79.294319,0.207008,1
79.615608,0.206352,1
80.656998,0.203976,1
84.548187,0.200488,1
87.896927,0.198295,0
89.0989,0.197715,0
89.10112,0.2,0
84.355316,0.204517,1
79.724319,0.20876,1
75.547668,0.212224,1
