Gamma,Porosity,Fluvialfacies
45.117382,0.29662,2
53.040325,0.281801,2
57.917137,0.278295,2
59.882324,0.275237,2
59.038277,0.262247,2
55.509033,0.257436,2
52.492397,0.278114,2
49.96574,0.305944,2
49.335575,0.323396,2
50.518166,0.325354,2
51.843094,0.306927,2
53.304081,0.287544,2
52.126381,0.285772,2
48.42651,0.285681,2
51.058674,0.272041,2
59.743286,0.26286,2
59.982796,0.275349,2
52.150101,0.288693,2
45.78751,0.282997,2
40.830105,0.276709,2
39.594429,0.287464,2
41.916142,0.299006,2
41.910713,0.295796,2
39.680901,0.286658,2
40.173107,0.280028,2
43.267143,0.281814,2
45.784763,0.297665,2
47.751415,0.311011,2
48.592678,0.306017,2
48.358238,0.295205,2
48.832718,0.290545,2
49.98481,0.291394,2
50.002869,0.297138,2
48.93697,0.300546,2
47.096294,0.29471,2
44.515053,0.282359,2
45.357929,0.266104,2
49.47374,0.265383,2
49.612579,0.29877,2
45.950062,0.328864,2
42.943714,0.31991,2
40.564568,0.296236,3
50.206936,0.281094,3
71.340012,0.274833,3
82.083664,0.277784,3
82.896645,0.283477,3
79.894836,0.28573,3
73.246681,0.281246,3
74.11071,0.266877,3
82.155212,0.253523,3
87.33886,0.251603,3
89.787956,0.256412,3
88.559174,0.26345,3
83.814919,0.267159,2
81.138268,0.262222,2
80.437927,0.25907,2
80.498611,0.267678,2
81.286728,0.27503,2
83.639061,0.268687,2
87.486534,0.260799,2
87.335846,0.262974,2
83.363525,0.26961,2
81.07515,0.275351,2
80.39637,0.279158,2
79.380119,0.280034,2
78.041298,0.278687,2
78.551643,0.27579,2
80.829498,0.271475,2
80.397034,0.265861,2
77.373909,0.26052,2
76.40947,0.256954,2
77.412811,0.257062,2
82.032425,0.262663,2
90.10862,0.266536,2
90.093773,0.261776,2
82.345131,0.256298,2
79.615913,0.257666,2
81.684471,0.263904,2
83.575539,0.273126,2
85.296951,0.280036,2
82.914078,0.279569,2
76.608131,0.279873,2
73.780769,0.288736,0
74.278381,0.293181,0
74.141541,0.280807,2
73.39827,0.266258,0
75.392151,0.263534,0
80.002342,0.266025,3
82.540039,0.267413,2
83.096764,0.26499,0
85.292328,0.256168,0
89.054359,0.250439,3
91.09433,0.256873,2
91.488281,0.260347,2
89.458839,0.246406,2
85.113007,0.23243,2
81.819138,0.235032,2
79.530777,0.245791,2
79.942856,0.256659,2
82.936127,0.26589,2
85.030823,0.271814,2
86.266617,0.275888,2
86.223434,0.279503,2
84.957748,0.278141,2
85.342735,0.267479,2
87.305511,0.255655,2
87.352386,0.250446,2
85.56797,0.253707,2
83.769051,0.267213,2
81.956268,0.281226,2
82.213203,0.286437,2
84.448456,0.285088,2
84.437172,0.279322,2
82.278534,0.273258,2
79.541054,0.270833,2
76.25029,0.267164,2
78.762154,0.257587,2
86.820435,0.252819,2
88.05912,0.263103,2
82.779335,0.272022,2
80.764381,0.263881,2
81.870102,0.255039,2
82.900597,0.261132,2
83.859184,0.27229,3
79.760139,0.279076,3
70.826797,0.281243,3
71.48716,0.278557,3
81.317635,0.271703,2
86.062721,0.261338,2
85.946976,0.253979,2
84.238045,0.255854,1
81.006264,0.262088,1
77.901794,0.268019,1
74.919006,0.274683,1
74.393311,0.283069,2
76.216209,0.28633,2
79.454353,0.277919,2
84.045265,0.259551,2
86.213028,0.23287,1
86.064651,0.213534,1
87.599258,0.216514,1
90.742538,0.23288,2
88.62458,0.254098,2
81.477684,0.270182,2
78.921974,0.271586,2
80.75473,0.269129,2
77.522331,0.273155,2
69.448433,0.280268,2
69.869003,0.287225,2
78.408981,0.285817,2
80.354515,0.268196,2
75.996788,0.253187,3
73.868118,0.258786,1
73.870079,0.268568,2
77.351746,0.266839,2
84.15947,0.259873,2
85.900284,0.253667,2
82.79792,0.254057,2
82.287781,0.266618,2
84.255424,0.276135,2
90.50663,0.26806,2
100.85227,0.253623,0
107.50738,0.243559,3
110.63492,0.237361,3
111.08169,0.234543,0
108.96606,0.238346,0
106.86798,0.251871,0
104.7867,0.264679,1
106.38467,0.266792,1
111.49945,0.261005,0
108.73148,0.24999,0
98.428825,0.243782,0
95.310219,0.25197,1
99.058449,0.261061,1
99.969536,0.258162,1
98.168747,0.254842,1
99.594025,0.262162,1
104.10293,0.265004,1
106.19088,0.248918,0
105.96479,0.231458,0
104.94346,0.2294,0
103.16199,0.231057,0
102.43629,0.225255,0
102.71975,0.219866,0
103.19888,0.222416,0
103.86505,0.230205,3
104.42168,0.240654,3
104.87362,0.251566,3
105.4568,0.26084,0
106.16542,0.261447,0
106.93326,0.246667,0
107.7577,0.229739,0
105.41946,0.223318,0
100.05818,0.223706,1
98.448418,0.227367,1
100.42452,0.234703,1
101.1451,0.246094,1
100.66558,0.251104,0
100.30535,0.239758,3
100.05912,0.223764,3
101.6186,0.214313,0
104.90404,0.213126,0
106.25255,0.221849,0
105.74964,0.232403,0
103.40982,0.23707,1
99.314186,0.239188,1
96.909607,0.24195,1
96.121422,0.245717,1
96.517288,0.250836,0
98.044914,0.25425,0
100.8574,0.253033,0
104.89801,0.247491,0
103.58319,0.237916,0
97.149399,0.231972,0
96.397331,0.236986,0
101.07612,0.24115,0
103.5363,0.233174,0
103.87583,0.226051,0
102.54906,0.232204,0
99.629562,0.240753,0
98.706741,0.241304,0
99.692444,0.239056,0
101.96401,0.238979,0
105.46467,0.243291,0
104.80976,0.254117,0
100.18276,0.239754,0
100.56328,0.192914,0
105.7302,0.164947,0
107.26535,0.160906,0
105.32911,0.153271,0
103.48367,0.136756,0
101.72504,0.126373,0
101.22955,0.136471,0
101.94143,0.152881,0
101.20916,0.162061,0
99.096519,0.168648,0
98.694366,0.177073,0
99.927177,0.180659,0
100.99138,0.173021,0
101.89443,0.166226,0
101.2134,0.171803,0
99.018242,0.177005,0
99.764763,0.16965,0
103.32307,0.159371,0
102.85809,0.155373,0
98.547462,0.15249,0
97.150925,0.145783,0
98.539787,0.142827,0
99.466614,0.150863,0
99.951797,0.162931,0
100.66922,0.172382,0
101.60864,0.178654,0
95.645584,0.181214,0
83.084831,0.178659,0
72.300484,0.169647,0
63.214088,0.165804,1
58.660915,0.178243,1
58.440796,0.189119,1
62.314667,0.181373,1
70.101768,0.17271,0
72.832466,0.180053,2
