Gamma,Porosity,Fluvialfacies
32.929241,0.123173,2
35.318161,0.122044,2
35.360283,0.122536,2
34.259071,0.123739,2
32.770031,0.12521,2
31.092047,0.127053,2
28.800512,0.137034,2
26.210066,0.143148,2
24.109621,0.137764,2
22.247902,0.1239,2
20.994678,0.114316,1
20.03791,0.120874,1
20.809448,0.130323,2
22.422995,0.133347,2
26.703152,0.128332,2
32.282448,0.121856,2
38.798367,0.115592,2
45.770596,0.109627,2
51.640327,0.104423,2
56.972935,0.100934,2
59.151737,0.099624,1
59.794044,0.099114,1
60.250034,0.098733,1
60.615246,0.09852,1
60.707462,0.098496,1
60.666679,0.097676,1
62.471779,0.095582,1
65.17617,0.093701,1
66.520866,0.09276,1
67.203125,0.09216,1
67.811607,0.091611,1
68.384148,0.092136,1
66.681473,0.094233,1
63.870346,0.096077,1
62.711346,0.096779,1
62.357243,0.096871,1
62.513149,0.096611,1
62.917526,0.095382,1
65.161591,0.092881,1
68.301926,0.090742,0
69.765213,0.089763,0
70.411446,0.089563,0
70.196259,0.089957,1
69.561401,0.09093,1
68.100945,0.092474,1
66.238274,0.093834,1
65.174332,0.094641,1
64.499542,0.094818,1
64.794197,0.094325,1
65.56115,0.09341,1
66.763084,0.092195,1
68.176941,0.091726,1
67.771103,0.092515,1
66.478722,0.094067,1
64.43161,0.096139,1
62.016804,0.098075,1
60.264576,0.099553,1
58.835148,0.099115,1
61.206066,0.096052,1
65.428474,0.092108,1
69.698227,0.088131,1
73.991043,0.085172,1
76.068756,0.083743,1
77.067291,0.084812,1
73.768173,0.088849,3
68.375298,0.093848,3
63.005508,0.098831,2
57.646973,0.102704,2
54.667782,0.104933,2
52.847775,0.105196,2
54.101749,0.103335,2
56.853333,0.10041,2
60.399578,0.096936,2
64.332977,0.093568,2
67.650589,0.090625,2
70.66819,0.088057,2
73.179031,0.08584,2
75.442993,0.084562,3
75.929169,0.084512,3
75.54924,0.085296,3
74.241219,0.086722,1
72.481033,0.0887,1
69.981514,0.09119,1
67.121811,0.092361,1
67.460709,0.091323,1
69.357918,0.0898,1
70.738747,0.088634,1
71.868004,0.086952,1
74.361992,0.084326,1
77.520859,0.082576,0
78.129288,0.082587,0
77.495163,0.082034,0
79.321457,0.07978,0
82.346428,0.078256,0
82.60228,0.078645,0
81.509048,0.079781,0
80.156982,0.081095,0
78.67881,0.08351,0
74.958084,0.087474,1
70.144821,0.091174,1
66.993004,0.093726,1
64.650627,0.09554,1
63.089691,0.096813,1
61.909454,0.097484,3
61.643906,0.097524,3
61.823978,0.096796,3
63.209366,0.095236,3
65.181969,0.093636,3
66.65519,0.09238,2
67.885117,0.091313,2
68.953041,0.090357,2
69.942047,0.090503,2
68.638168,0.092234,2
66.217224,0.094177,1
64.455078,0.095665,1
63.013908,0.096165,1
63.378624,0.095418,1
64.623154,0.093499,1
67.508965,0.090447,0
71.194389,0.08681,0
75.33683,0.082858,0
79.701935,0.080238,0
80.97892,0.079751,0
80.751411,0.08036,0
79.667152,0.081561,0
78.165489,0.084069,0
74.269981,0.088229,0
69.208214,0.092193,1
65.736107,0.095059,1
63.038464,0.096903,1
61.767624,0.09776,1
61.191902,0.097211,1
62.948463,0.095052,1
65.841286,0.092841,1
67.708076,0.091339,1
69.075005,0.091368,1
67.64566,0.093329,1
64.854004,0.095945,1
62.01371,0.098594,1
59.149712,0.100875,1
57.104652,0.102589,1
55.458572,0.102719,1
56.824074,0.100769,1
59.656776,0.098384,1
61.958153,0.096366,1
64.000671,0.093761,1
67.565292,0.090106,1
71.871452,0.086537,0
75.24955,0.083609,0
78.175499,0.080436,0
82.080826,0.076587,0
86.463303,0.073464,0
88.803505,0.071752,0
90.148735,0.070541,0
91.411072,0.069387,0
92.633003,0.069322,0
91.549545,0.07085,0
89.342918,0.072403,0
88.206429,0.073218,0
87.591301,0.074343,0
85.782242,0.076293,0
83.391502,0.077436,0
83.322334,0.076975,0
84.384201,0.076396,0
84.569038,0.076423,0
84.326607,0.075899,0
85.695152,0.074264,0
87.848557,0.072412,0
89.683754,0.070778,0
91.36393,0.068798,0
93.947815,0.066193,0
96.971977,0.06394,0
98.799065,0.062514,0
100.04296,0.061706,0
100.53919,0.061414,0
100.67117,0.061836,0
99.629539,0.063069,0
98.016136,0.064466,0
96.620155,0.065714,0
95.330101,0.067065,0
93.712105,0.068642,0
91.934326,0.070148,0
90.469536,0.071438,0
89.157227,0.072129,0
88.982658,0.072033,0
89.362389,0.071459,0
90.21862,0.070556,0
91.307007,0.069434,0
92.635109,0.068146,0
94.080009,0.067376,0
94.294098,0.067456,0
93.908546,0.06793,0
93.272598,0.068577,0
92.514648,0.069284,0
91.751076,0.069995,0
90.984741,0.07058,0
90.490562,0.070977,0
90.128967,0.071271,0
89.857727,0.071503,0
89.630516,0.071608,0
89.632011,0.071555,0
89.744934,0.071536,0
89.672958,0.071645,0
89.510887,0.071737,0
89.474442,0.071743,0
89.499199,0.071672,0
89.624176,0.071533,0
89.797981,0.071342,0
90.037056,0.071105,0
90.307922,0.070828,0
90.634109,0.070512,0
90.987267,0.070441,0
90.786316,0.070754,0
90.315414,0.070629,0
91.054382,0.069668,0
92.382797,0.068631,0
93.287949,0.067886,0
93.986893,0.067255,0
94.64769,0.066649,0
95.289894,0.066531,0
94.902145,0.067124,0
94.012611,0.06769,0
93.684273,0.067867,0
93.629333,0.067654,0
94.144463,0.067047,0
94.937325,0.066434,0
95.464752,0.066004,0
95.862869,0.065798,0
95.908653,0.065835,0
95.782776,0.066162,0
95.203735,0.066803,0
94.403931,0.067704,0
93.263748,0.06884,0
91.957741,0.069852,0
91.086258,0.070563,0
90.426476,0.071407,0
89.267471,0.072596,0
87.865257,0.073429,0
87.476341,0.073561,0
87.581085,0.074033,0
86.460045,0.075352,0
84.741814,0.075966,0
85.138084,0.075119,0
86.564522,0.074283,0
86.938148,0.074175,0
86.798866,0.073488,0
88.413963,0.071591,0
90.883759,0.070271,0
91.25779,0.070398,0
90.610794,0.070363,0
91.331161,0.069385,0
92.717697,0.068549,0
93.131248,0.068385,0
93.070786,0.068116,0
93.709534,0.067364,0
94.688934,0.066752,0
95.027145,0.066583,0
95.052979,0.066557,0
95.08226,0.06653,0
95.113205,0.067139,0
93.770836,0.068697,0
91.759399,0.070997,0
88.819656,0.073937,0
85.427666,0.077732,0
80.648529,0.082486,0
75.193581,0.086941,0
71.057121,0.090486,0
67.563019,0.093878,0
63.754894,0.097486,1
59.793785,0.100313,1
57.667568,0.101874,1
56.435284,0.103271,1
54.660168,0.105042,1
52.620583,0.10564,1
53.372631,0.10431,1
55.484734,0.102772,1
56.683064,0.101866,1
57.436218,0.100357,1
59.931175,0.097645,1
63.274715,0.095693,1
64.133705,0.095458,1
63.782249,0.09626,2
62.405209,0.097771,2
60.528515,0.101106,2
55.2272,0.106806,2
48.25745,0.112813,2
42.294849,0.118124,2
36.822922,0.121448,2
35.136974,0.122158,2
35.295517,0.119586,2
40.673164,0.113409,2
48.593498,0.106113,2
56.382004,0.098908,2
64.106285,0.092754,2
69.630547,0.08812,2
74.082993,0.086503,2
73.111961,0.088632,2
69.498672,0.091996,1
65.869843,0.09537,1
62.233444,0.098757,1
58.577679,0.102159,2
54.912479,0.103505,2
55.678814,0.10179,2
58.604137,0.098925,2
61.847469,0.095839,2
65.245728,0.09283,2
68.326408,0.09004,2
71.252373,0.088811,2
70.973495,0.089796,2
69.13327,0.091961,1
66.310425,0.094806,1
63.008858,0.097536,1
60.431812,0.099766,1
58.207745,0.100701,1
58.419918,0.099953,1
59.818996,0.098416,1
61.728302,0.096527,1
63.886185,0.094662,1
