Gamma,Porosity,Fluvialfacies
94.063576,0.233855,1
91.305397,0.221261,1
84.353271,0.263187,1
77.407532,0.258038,1
71.280823,0.252006,1
65.189362,0.231704,1
63.624596,0.258656,0
62.070019,0.23745,0
61.823048,0.268178,0
61.588707,0.271766,0
62.976089,0.241038,0
64.359413,0.284606,0
65.220917,0.268402,0
66.074471,0.259917,0
65.906113,0.249383,1
65.724556,0.266823,1
63.845905,0.280485,1
61.953041,0.220498,1
58.235161,0.270406,1
54.547626,0.255406,1
54.756397,0.257265,1
54.953323,0.236554,1
53.630001,0.261697,1
52.346478,0.277104,1
56.172947,0.278869,1
59.981903,0.302912,1
61.541584,0.269097,1
63.122448,0.243368,1
67.423065,0.250409,1
71.68219,0.287436,0
70.613609,0.264435,3
69.556725,0.293895,3
70.00325,0.272072,2
70.435051,0.274627,2
68.975098,0.244199,2
67.515343,0.263637,2
66.07946,0.269246,2
64.617516,0.298632,2
59.808983,0.291665,2
55.030266,0.293357,2
54.080299,0.264789,2
53.176689,0.228281,1
58.225731,0.243233,1
63.302532,0.300134,1
71.944633,0.244563,1
80.570168,0.244705,1
87.069092,0.230611,1
93.532425,0.252836,1
95.424965,0.229396,1
97.313538,0.227564,1
98.692963,0.226226,1
100.06966,0.224889,1
101.09657,0.223893,1
102.08529,0.222934,1
98.167442,0.226687,1
94.211823,0.22464,1
85.407654,0.277677,1
76.584663,0.260382,1
65.345131,0.25296,2
54.194244,0.305855,2
54.425308,0.280841,2
54.700451,0.277668,2
60.635189,0.250902,3
66.598885,0.249873,3
76.280487,0.269712,3
85.872833,0.244745,3
84.006432,0.22423,1
82.109955,0.227474,1
76.352707,0.249187,2
70.571564,0.254358,2
61.721462,0.238454,2
52.926834,0.285104,2
51.254284,0.287735,2
49.605076,0.27492,1
50.952454,0.28269,1
52.30991,0.266884,1
54.962059,0.253167,1
57.606316,0.276335,1
59.237846,0.28271,1
60.87392,0.248421,1
63.093246,0.272035,1
65.327667,0.259054,1
69.49987,0.269636,1
73.660362,0.264412,1
76.317413,0.234654,1
78.946747,0.256101,1
78.015846,0.292482,1
77.065147,0.266206,1
73.572876,0.265386,1
70.097504,0.294696,2
68.791946,0.237703,2
67.502953,0.259724,2
68.340141,0.264107,2
69.197014,0.259899,2
72.582695,0.240074,2
75.946075,0.252261,2
76.445999,0.263227,2
76.942474,0.236127,1
76.995056,0.249144,1
77.018372,0.23641,1
73.284966,0.229983,1
69.569618,0.273967,1
68.172844,0.266578,1
66.787025,0.264778,0
66.808807,0.23144,0
66.848099,0.261823,0
69.136765,0.234579,0
71.424141,0.246223,0
73.546288,0.261129,0
75.65152,0.263479,3
75.586639,0.272325,3
75.531021,0.260672,3
76.663963,0.251378,2
77.778603,0.249019,2
76.543297,0.270412,2
75.319862,0.248389,2
75.620979,0.266864,2
75.906868,0.215544,2
74.238541,0.277752,2
72.580887,0.22367,2
72.294525,0.266768,2
71.991646,0.248797,2
69.567261,0.246706,2
67.144516,0.272295,2
64.931725,0.252141,2
62.733486,0.248868,2
62.404732,0.266168,2
62.082561,0.247539,2
62.605854,0.259617,1
63.144192,0.244681,1
65.613747,0.268087,1
68.075996,0.270453,1
69.601471,0.271203,1
71.157448,0.243453,1
76.629707,0.239796,1
82.088387,0.257528,1
85.80336,0.236953,1
89.523117,0.220464,1
93.858017,0.221343,1
98.157188,0.216745,1
97.869301,0.217024,1
97.56665,0.217317,0
95.368851,0.219238,0
93.142288,0.194217,0
87.223709,0.2108,0
81.296867,0.208359,0
74.307755,0.247131,0
67.337753,0.259283,1
62.822205,0.23503,1
58.324425,0.262175,1
56.107334,0.241546,1
53.921497,0.296411,1
55.74786,0.228582,1
57.592316,0.252161,1
61.75993,0.245118,1
65.937431,0.239453,1
71.383904,0.250639,1
76.834557,0.234773,1
82.822105,0.232983,1
88.748703,0.243764,3
86.849449,0.266802,3
84.934525,0.236706,3
81.007088,0.254929,3
77.041824,0.24214,2
68.21949,0.255373,2
59.447353,0.243556,2
57.121746,0.282542,2
54.80426,0.240074,2
53.529133,0.2655,2
52.280697,0.245938,1
54.458866,0.242044,1
56.629799,0.282865,1
57.872009,0.279357,1
59.114456,0.228458,1
60.38686,0.235705,1
61.660553,0.262746,1
63.10001,0.253914,1
64.541969,0.219768,1
66.305618,0.285754,1
68.066101,0.230849,1
69.418564,0.212016,1
70.758881,0.240303,1
