Gamma,Porosity,Fluvialfacies
116.69,0.182432,0
119.642,0.179918,0
122.524,0.178261,0
123.489,0.177513,0
124.259,0.177012,0
124.652,0.176689,0
125.007,0.175178,0
128.159,0.17234,0
131.594,0.171109,0
131.016,0.171783,0
130.029,0.171642,0
131.345,0.170407,0
132.895,0.175482,0
119.566,0.187621,0
104.723,0.189835,0
114.428,0.180396,0
126.628,0.175512,0
125.763,0.17683,0
123.57,0.178874,0
121.019,0.181088,0
118.431,0.181918,0
119.092,0.181207,0
120.083,0.180631,0
120.429,0.180362,0
120.708,0.179276,0
122.949,0.177258,0
125.39,0.176135,0
125.556,0.176091,0
125.491,0.177103,0
123.208,0.179167,0
120.701,0.179275,0
122.96,0.177119,0
125.703,0.177276,0
122.594,0.180212,0
118.889,0.18068,0
121.509,0.178145,0
124.771,0.177875,0
122.136,0.180404,0
118.902,0.183567,0
114.795,0.187144,0
110.601,0.185043,0
119.671,0.176646,0
130.09,0.174591,0
124.44,0.180164,0
117.156,0.183231,0
117.32,0.182763,0
118.242,0.184624,0
113.002,0.18941,0
107.136,0.192445,0
105.958,0.193254,0
105.257,0.190555,0
112.222,0.184218,0
119.965,0.180182,0
121.588,0.179052,0
122.589,0.178092,0
123.817,0.177023,0
125.069,0.176801,0
124.334,0.177521,0
123.397,0.177103,0
125.303,0.175336,0
127.498,0.174555,0
127.115,0.174997,0
126.471,0.17843,0
119.15,0.185032,0
111.149,0.186042,0
116.805,0.18057,0
123.849,0.181407,0
114.862,0.189854,0
104.245,0.194491,0
104.1,0.194157,0
105.02,0.191318,0
110.688,0.186226,0
116.839,0.181566,0
121.502,0.177614,0
126.013,0.176678,0
123.675,0.178992,0
120.64,0.183527,0
113.15,0.190177,0
105.207,0.190385,0
112.666,0.183283,0
121.691,0.180201,0
119.817,0.182293,0
116.836,0.18203,0
120.429,0.178645,0
124.692,0.180039,0
117.193,0.187017,0
108.498,0.187417,0
116.264,0.180003,0
125.705,0.177,0
123.233,0.179652,0
119.55,0.182352,0
116.968,0.184529,0
114.498,0.182688,0
121.24,0.176475,0
128.918,0.17431,0
126.263,0.177051,0
122.557,0.182223,0
114.258,0.189577,0
105.492,0.192119,0
108.358,0.189139,0
112.408,0.182806,0
123.056,0.173341,0
134.374,0.170042,0
130.712,0.173855,0
125.526,0.177303,0
122.709,0.179628,0
120.132,0.179634,0
122.695,0.177199,0
125.781,0.176045,0
125.374,0.176549,0
124.611,0.176562,0
125.343,0.175865,0
126.228,0.1754,0
126.423,0.175262,0
126.548,0.179922,0
115.607,0.189836,0
103.54,0.194773,0
104.151,0.19369,0
106.052,0.188876,0
115.323,0.180564,0
125.344,0.175547,0
126.966,0.174517,0
127.734,0.177767,0
119.425,0.185325,0
110.193,0.187985,0
113.251,0.184812,0
117.558,0.183268,0
